"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
5.85,0.035,5.31,0.895,26.53,"19-09-30_YC018_probe1",5,0,0,0,0,0,"GoMF",2
14.07,0.028,4.928,0.699,19.866,"19-09-30_YC018_probe1",513,0,0,0,0,0,"GoMF",2
5.37,0.024,4.581,1.046,24.877,"19-09-30_YC018_probe1",598,0,0,0,0,0,"GoMF",2
8.21,0.026,4.435,0.861,47.557,"19-10-01_YC017_probe1",233,0,0,0,0,0,"GoMF",2
7.96,0.016,2.839,0.849,67.854,"19-10-01_YC017_probe1",242,0,0,0,0,0,"GoMF",3
22.97,0.029,5.405,0.924,49.438,"19-10-01_YC017_probe1",249,0,0,0,0,0,"GoMF",2
33.62,0.015,6.033,0.896,93.053,"19-10-01_YC017_probe1",296,0,0,0,0,0,"GoMF",1
15.22,0.038,4.556,0.861,35.62,"19-10-01_YC017_probe1",448,0,0,0,0,0,"GoMF",2
17.37,0.03,4.303,0.722,22.766,"19-10-01_YC017_probe1",459,0,0,0,0,0,"GoMF",3
12.47,0.015,3.972,0.8,67.679,"19-10-01_YC017_probe1",464,0,0,0,0,0,"GoMF",2
28.63,0.023,5.084,0.755,36.494,"19-10-01_YC017_probe1",492,0,0,0,0,0,"GoMF",2
5.63,0.038,3.257,0.946,37.488,"19-10-03_YC020_probe1",114,0,0,0,0,0,"GoMF",3
5.87,0.009,2.274,0.879,27.103,"19-10-03_YC020_probe1",122,0,0,0,0,0,"GoMF",3
7.44,0.021,4.895,1.04,31.882,"19-10-03_YC020_probe1",152,0,0,0,0,0,"GoMF",2
2.66,0.034,4.013,1.828,36.364,"19-10-03_YC020_probe1",78,0,0,0,0,0,"GoMF",3
24.83,0.024,5.377,0.871,52.589,"19-10-22_YC022_probe1",155,0,0,0,0,0,"GoMF",2
8.47,0.047,4.561,0.952,28.662,"19-10-22_YC022_probe1",193,0,0,0,0,0,"GoMF",2
8.03,0.042,4.989,0.933,36.037,"19-10-22_YC022_probe1",284,0,0,0,0,0,"GoMF",2
35.9,0.016,5.781,0.741,67.962,"19-10-22_YC022_probe1",433,0,0,0,0,0,"GoMF",1
23.84,0.029,6.021,0.994,60.995,"19-10-22_YC022_probe1",481,0,0,0,0,0,"GoMF",1
1.14,0.055,2.665,0.951,18.525,"19-10-22_YC022_probe1",577,0,0,0,0,0,"GoMF",3
9.85,0.033,4.674,0.995,57.593,"19-10-22_YC022_probe1",602,0,0,0,0,0,"GoMF",3
10.1,0.04,5.418,0.877,29.315,"19-10-22_YC022_probe1",740,0,0,0,0,0,"GoMF",2
5.03,0.091,4.8,0.869,12.482,"19-10-22_YC022_probe1",741,0,0,0,0,0,"GoMF",4
17.18,0.025,5.539,0.927,53.98,"19-10-22_YC022_probe1",754,0,0,0,0,0,"GoMF",1
18.38,0.026,5.542,0.997,62.783,"19-10-22_YC022_probe1",759,0,0,0,0,0,"GoMF",1
17.05,0.013,5.178,1.033,63.383,"19-10-22_YC022_probe1",857,0,0,0,0,0,"GoMF",1
14.78,0.025,5.579,0.836,42.677,"19-10-22_YC022_probe1",862,0,0,0,0,0,"GoMF",2
3.76,0.015,1.915,0.903,69.438,"19-10-22_YC022_probe1",89,0,0,0,0,0,"GoMF",3
4.59,0.062,5.291,0.87,14.723,"19-10-22_YC022_probe1",918,0,0,0,0,0,"GoMF",4
1.92,0.107,4.986,1.305,51.783,"19-10-22_YC022_probe1",939,0,0,0,0,0,"GoMF",4
2.56,0.111,5.108,0.664,4.062,"19-10-23_YC022_probe1",163,0,0,0,0,0,"GoMF",4
24.32,0.017,5.437,0.931,59.217,"19-10-23_YC022_probe1",286,0,0,0,0,0,"GoMF",1
44.57,0.008,2.991,0.856,104.407,"19-10-23_YC022_probe1",55,0,0,0,0,0,"GoMF",1
14.9,0.043,4.961,0.94,28.46,"19-11-14_YC029_probe1",27,0,0,0,0,0,"GoMF",2
13.55,0.026,5.736,0.985,57.987,"19-11-14_YC030_probe1",19,0,0,0,0,0,"GoMF",1
16.83,0.021,4.956,1.045,70.631,"19-11-14_YC030_probe1",21,0,0,0,0,0,"GoMF",1
11.35,0.036,5.578,1.079,57.8,"19-11-14_YC030_probe1",22,0,0,0,0,0,"GoMF",2
6.56,0.036,3.788,0.737,16.44,"19-11-08_YC038_probe2",103,0,0,0,0,0,"GoMF",3
3.12,0.043,3.758,1.217,57.895,"19-11-08_YC038_probe2",105,0,0,0,0,0,"GoMF",3
3.36,0.12,5.461,1.074,37.283,"19-11-08_YC038_probe2",111,0,0,0,0,0,"GoMF",4
8.5,0.021,4.189,1.19,94.387,"19-11-08_YC038_probe2",137,0,0,0,0,0,"GoMF",3
9.22,0.029,5.398,1.126,56.518,"19-11-08_YC038_probe2",147,0,0,0,0,0,"GoMF",2
6.56,0.061,4.705,0.888,18.278,"19-11-08_YC038_probe2",21,0,0,0,0,0,"GoMF",4
12.35,0.011,3.998,1.146,119.295,"19-11-08_YC038_probe2",309,0,0,0,0,0,"GoMF",3
