"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","PAMCluster"
1.02,0.867,7.202,0.845,2.501,"18-08-30_YC001_probe1",71,0,0,0,0,0,"CS",2
11.47,0.065,7.006,0.778,13.986,"18-08-30_YC001_probe1",76,0,0,0,0,0,"MLI",1
16.92,0.044,6.767,0.728,19.012,"18-08-30_YC001_probe1",78,0,0,0,0,0,"MLI",1
1.5,0.579,7.187,0.82,2.781,"18-08-30_YC001_probe1",82,0,0,0,0,0,"CS",2
35.17,0.025,6.992,0.483,17.051,"18-08-30_YC001_probe1",83,0,0,0,0,0,"Pk",1
1.6,0.538,7.208,0.779,2.589,"18-08-30_YC001_probe1",86,0,0,0,0,0,"CS",2
1.34,0.633,7.084,0.805,2.328,"18-08-30_YC001_probe1",89,0,0,0,0,0,"CS",2
1.61,0.525,7.147,0.814,2.808,"18-08-30_YC001_probe1",93,0,0,0,0,0,"CS",2
15.15,0.046,6.763,0.702,15.846,"18-08-30_YC001_probe1",99,0,0,0,0,0,"MLI",1
2.21,0.152,5.2,1.1,17.934,"18-08-30_YC002_probe1",10,0,0,0,0,0,"Gr",5
4.51,0.12,6.048,0.79,26.107,"18-08-30_YC002_probe1",103,0,0,0,0,0,"MLI",1
25.25,0.027,6.425,0.761,39.484,"18-08-30_YC002_probe1",106,0,0,0,0,0,"MLI",4
84.76,0.01,6.937,0.482,32.95,"18-08-30_YC002_probe1",111,0,0,0,0,0,"Pk",3
4.58,0.15,6.738,0.853,9.388,"18-08-30_YC002_probe1",12,0,0,0,0,0,"MLI",1
9.31,0.089,7.029,0.596,6.381,"18-08-30_YC002_probe1",123,0,0,0,0,0,"MLI",1
7.35,0.101,6.486,0.676,8.197,"18-08-30_YC002_probe1",129,0,0,0,0,0,"MLI",1
11.26,0.075,6.811,0.763,16.099,"18-08-30_YC002_probe1",140,0,0,0,0,0,"MLI",1
27.03,0.035,7.045,0.41,10.829,"18-08-30_YC002_probe1",142,0,0,0,0,0,"Pk",1
15.77,0.047,6.782,0.95,40.301,"18-08-30_YC002_probe1",144,0,0,0,0,0,"MLI",4
21.15,0.029,6.298,0.687,23.013,"18-08-30_YC002_probe1",147,0,0,0,0,0,"MLI",1
6.44,0.064,5.247,0.832,12.822,"18-08-30_YC002_probe1",149,0,0,0,0,0,"GoMF",5
22.62,0.029,6.513,1.004,61.462,"18-08-30_YC002_probe1",153,0,0,0,0,0,"GoMF",4
7.81,0.08,6.145,0.758,10.724,"18-08-30_YC002_probe1",157,0,0,0,0,0,"MLI",5
10.73,0.045,6.361,0.923,33.882,"18-08-30_YC002_probe1",158,0,0,0,0,0,"MLI",4
31.52,0.023,6.71,0.778,41.08,"18-08-30_YC002_probe1",16,0,0,0,0,0,"MLI",4
7.3,0.134,6.517,0.879,10.124,"18-08-30_YC002_probe1",163,0,0,0,0,0,"MLI",5
11.81,0.063,6.626,0.834,23.021,"18-08-30_YC002_probe1",169,0,0,0,0,0,"MLI",1
16.54,0.021,5.566,1.01,57.429,"18-08-30_YC002_probe1",170,0,0,0,0,0,"GoMF",4
7.98,0.1,6.478,0.48,3.431,"18-08-30_YC002_probe1",173,0,0,0,0,0,"MLI",1
3.52,0.224,6.927,0.713,4.184,"18-08-30_YC002_probe1",180,0,0,0,0,0,"MLI",1
69.28,0.016,6.11,0.601,28.099,"18-08-30_YC002_probe1",205,0,0,0,0,0,"Pk",3
0.35,1.801,5.281,0.983,2.709,"18-08-30_YC002_probe1",21,0,0,0,0,0,"CS",2
72.89,0.011,6.768,0.485,29.097,"18-08-30_YC002_probe1",210,0,0,0,0,0,"Pk",3
13.76,0.051,6.56,0.511,7.929,"18-08-30_YC002_probe1",22,0,0,0,0,0,"MLI",1
10.28,0.031,5.026,1.016,34.707,"18-08-30_YC002_probe1",255,0,0,0,0,0,"GoMF",5
27.72,0.031,6.977,0.532,14.185,"18-08-30_YC002_probe1",26,0,0,0,0,0,"MLI",1
1.37,0.661,7.206,0.599,1.329,"18-08-30_YC002_probe1",272,0,0,0,0,0,"CS",2
1.75,0.505,7.254,0.722,2.253,"18-08-30_YC002_probe1",275,0,0,0,0,0,"CS",2
22.14,0.036,6.742,0.386,6.766,"18-08-30_YC002_probe1",31,0,0,0,0,0,"Pk",1
74.39,0.01,6.062,0.456,26.437,"18-08-30_YC002_probe1",327,0,0,0,0,0,"Pk",3
4.78,0.151,6.796,0.772,6.325,"18-08-30_YC002_probe1",330,0,0,0,0,0,"MLI",1
30.79,0.026,7.003,0.768,49.832,"18-08-30_YC002_probe1",35,0,0,0,0,0,"MLI",4
12.05,0.066,7.043,0.614,10.603,"18-08-30_YC002_probe1",36,0,0,0,0,0,"MLI",1
77.28,0.008,5.101,0.402,22.992,"18-08-30_YC002_probe1",37,0,0,0,0,0,"Unknown",5
1.94,0.458,7.23,0.719,2.439,"18-08-30_YC002_probe1",39,0,0,0,0,0,"CS",2
1.6,0.561,7.237,0.708,2.041,"18-08-30_YC002_probe1",41,0,0,0,0,0,"CS",2
2.13,0.419,7.22,0.698,2.485,"18-08-30_YC002_probe1",51,0,0,0,0,0,"CS",2
2,0.446,7.223,0.716,2.434,"18-08-30_YC002_probe1",59,0,0,0,0,0,"CS",2
1.63,0.552,7.233,0.754,2.483,"18-08-30_YC002_probe1",60,0,0,0,0,0,"CS",2
11.27,0.056,6.653,0.697,16.854,"18-08-30_YC002_probe1",72,0,0,0,0,0,"MLI",1
8.07,0.079,6.806,0.775,9.464,"18-08-30_YC002_probe1",86,1,0,0,0,0,"MLI",1
10.69,0.063,6.763,0.95,24.615,"18-08-30_YC002_probe1",94,0,0,0,0,0,"MLI",4
6.75,0.064,6.121,0.73,12.292,"18-08-30_YC002_probe1",95,0,0,0,0,0,"MLI",5
15.04,0.051,6.12,1.465,65.158,"18-08-31_YC003_probe1",0,0,0,0,0,0,"GoMF",4
17.63,0.049,7.041,0.572,15.594,"18-08-31_YC003_probe1",101,0,0,0,0,0,"MLI",1
55.53,0.013,6.405,0.761,60.971,"18-08-31_YC003_probe1",102,0,0,0,0,0,"Pk",4
1.46,0.583,7.183,0.787,2.441,"18-08-31_YC003_probe1",122,0,0,0,0,0,"CS",2
1.77,0.504,7.286,0.786,2.834,"18-08-31_YC003_probe1",124,0,0,0,0,0,"CS",2
1.7,0.489,7.2,0.819,2.957,"18-08-31_YC003_probe1",127,0,0,0,0,0,"CS",2
3.91,0.117,6.072,0.989,15.58,"18-08-31_YC003_probe1",132,0,0,0,0,0,"MLI",5
1.44,0.636,7.291,0.771,2.325,"18-08-31_YC003_probe1",133,0,0,0,0,0,"CS",2
1.65,0.54,7.304,0.757,2.483,"18-08-31_YC003_probe1",134,0,0,0,0,0,"CS",2
1.84,0.479,7.269,0.746,2.658,"18-08-31_YC003_probe1",135,0,0,0,0,0,"CS",2
