Sample,Unit,PeakChUnit,SpikesUnit,GoodChunks,GoodChunksList,WvfChunks,WvfChunksList,SpikesBlock,PercMissingSpikesBlock,MFRBlockHz,MeanAmpBlock,RPVBlock,FpBlockFancy,FpBlockSimple,ACGViolationRatio,WvfPeaksBlock,PeaksBlock_x,PeaksBlock_y,BigPkNegBlock,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_LcV,tf_Si,tf_skw,wf_MaxAmpNorm,wf_MaxAmp,wf_MaxAmpTime,wf_MinAmpNorm,wf_MinAmp,wf_MinAmpTime,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_OnsetTime,wf_End,wf_EndTime,wf_Crossing,wf_CrossingTime,wf_Pk10,wf_Pk10Time,wf_Pk90,wf_Pk90Time,wf_Pk50,wf_Pk50Time1,wf_Pk50Time2,wf_Tr10,wf_Tr10Time,wf_Tr90,wf_Tr90Time,wf_Tr50,wf_Tr50Time1,wf_Tr50Time2,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_EndSlopeTau,key,ResponsiveUnit
19-09-30_YC018,254,182,80390,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3,"[15, 16, 17]",77226,12,70.55,9.93,118,0.01,0.0,0.01,2,"[40, 51]","[-128.99316, 24.15918]",1,83.477,0.013,0,0.006999999999999999,6.915,0.393,0.319,0.473,0.412,0.18600000000000005,19.241,-0.098,0.015,1.456,0.23065178,25.39,2.3,-1.0,-110.07,1.97,0.33,0.6521886097946705,0.19999999999999973,-0.1724356,1.77,0.12852065,2.77,-0.011976998197010688,2.1632110210196944,0.0230651780962944,2.1705161876457524,0.2075866028666496,2.2353571605284994,0.11532589048147204,2.2,2.8521886097946707,-0.1,2.137444137916896,-0.9,1.9993504839201584,-0.5,1.87,2.07,0.231,-4.760361822514702,4.437976086557238,-0.3001722454766691,0.06484097288274704,0.12948381235424744,0.138093653996737,0.1674441379168956,0.5403543048807702,19-09-30_YC018-254,-1
19-09-30_YC018,256,184,56138,18,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[5, 6, 7]",51296,7,50.12,11.73,14,0.0,0.0,0.0,2,"[41, 73]","[-72.39258, 8.191406]",1,57.79600000000001,0.017,0,0.011,6.745,0.38,0.297,0.464,0.399,0.179,12.667,-0.099,0.014,1.71,0.11039678,7.7,2.23,-1.0,-69.73,2.0,0.23,0.11170707261425017,0.14969366905819492,-0.22376163,1.83,0.005570004,3.17,-0.02095782857431086,2.1503063309418047,0.011039678007364271,2.1561851652479227,0.09935710206627846,2.1831563769412234,0.055198390036821365,2.17,2.28170707261425,-0.1,2.128405089646692,-0.9,2.017253256346954,-0.5,1.920306330941805,2.07,0.11,-4.847162961959834,7.1259665292697925,-0.4511480648543317,0.026971211693300745,0.07381483475207729,0.1111518332997381,0.12840508964669214,-0.3529805334901145,19-09-30_YC018-256,-1
19-09-30_YC018,270,189,36181,3,"[0, 2, 3]",1,[0],7939,26,48.15,10.28,62,0.1,0.01,0.04,2,"[41, 63]","[-42.75, 9.310547]",1,63.744,0.02,0,0.006,6.5470000000000015,0.72,0.675,0.901,0.8270000000000001,0.552,34.254,-0.213,0.052000000000000005,1.771,0.22985785,10.45,2.27,-1.0,-45.48,1.97,0.3,0.4676848533231257,0.19999999999999973,-0.15153773,1.6,0.10624866,2.77,0.008085957283965696,2.140747540512943,0.022985784709453585,2.149815059768536,0.20687206238508224,2.1930257399498827,0.11492892354726793,2.17,2.6376848533231256,-0.1,2.120789159242209,-0.9,2.007996710406013,-0.5,1.87,2.07,0.23,-4.324166219809964,5.355370962360033,-0.4452792007609359,0.04321068018134744,0.12018494023146475,0.11279244883619599,0.15078915924220948,0.5073104664479651,19-09-30_YC018-270,-1
19-09-30_YC018,275,191,32031,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16]",3,"[9, 10, 11]",26929,10,30.33,10.3,31,0.02,0.0,0.01,3,"[37, 41, 67]","[35.583984, -62.158203, -9.776367]",1,50.354,0.027000000000000003,0,0.006999999999999999,6.794,0.6709999999999999,0.616,0.75,0.759,0.486,28.215,-0.206,0.045,1.541,0.6516065,38.0,1.87,-1.0,-58.32,2.0,0.13,0.09999999999999988,0.09999999999999988,0.037250347,1.77,-0.1040899,2.73,0.008797789862384754,1.9330912646382,0.06516065001487732,1.9330912646382,0.5864458501338959,1.8680912646381997,0.3258032500743866,1.83,1.93,-0.1,2.065,-0.9,2.0,-0.5,1.97,2.07,0.652,-14.360730894352224,7.5671738075030985,-0.3760569425179065,0.06499999999999995,0.06309126463819957,0.06499999999999995,-0.06499999999999995,0.06042475150035049,19-09-30_YC018-275,-1
19-09-30_YC018,281,193,48982,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13]",3,"[6, 7, 8]",33529,18,48.65,11.71,152,0.05,0.0,0.05,2,"[47, 40]","[9.634766, -29.379883]",1,61.552,0.018000000000000002,0,0.008,6.813,0.594,0.5379999999999999,0.66,0.653,0.387,27.153,-0.151,0.034,1.495,0.32852066,10.23,2.23,-1.0,-31.14,1.97,0.26,0.2449990519200913,0.19977099358646688,-0.06689595,1.73,0.015603631,2.73,0.012670159791458259,2.1302290064135327,0.032852065563201915,2.1370250040213707,0.2956685900688171,2.198843459690464,0.16426032781600952,2.17,2.4149990519200912,-0.1,2.113992131474742,-0.9,2.0007268387360257,-0.5,1.8702290064135327,2.07,0.329,-4.374540818704137,6.532696570440008,-1.0707153635401718,0.061818455669093275,0.09297499597862924,0.1132652927387161,0.14399213147474188,0.1888547455338224,19-09-30_YC018-281,-1
19-09-30_YC018,37,22,1872,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[16, 17, 18]",1872,1,1.6,32.98,0,0.0,0.0,0.0,2,"[30, 41]","[56.305996, -89.88956]",1,2.393,0.5539999999999999,4,0.159,7.237,0.6890000000000001,0.6579999999999999,0.586,0.777,0.503,1.937,-0.97,0.046,0.8,0.8860305,57.84,1.63,-1.0,-65.28,2.0,0.37,0.23,0.3599999999999999,0.0058317548,1.4,-0.05443296,2.47,0.004562100540141417,1.7882690251265188,0.08860304951667786,1.7882690251265188,0.7974274456501007,1.6032690251265187,0.4430152475833893,1.5,1.73,-0.1,1.8008562968109594,-0.9,1.926483817830814,-0.5,1.87,2.23,0.8859999999999999,-6.246241380448463,2.2032424194730202,0.0,0.18500000000000005,0.15826902512651886,0.12562752101985475,0.19914370318904065,0.2457550713129881,19-09-30_YC018-37,-1
19-09-30_YC018,400,2,1243,14,"[0, 1, 4, 5, 6, 7, 9, 13, 14, 15, 16, 17, 18, 19]",3,"[15, 16, 17]",880,13,1.08,16.39,0,0.0,0.0,0.0,2,"[41, 75]","[-58.018314, 26.657217]",1,2.819,0.7659999999999999,1,0.103,7.108,0.908,0.885,0.735,1.145,0.836,2.915,-2.191,0.094,0.752,0.5047462,28.31,3.13,-1.0,-56.1,2.0,1.13,0.4311624859572172,0.5699999999999998,-0.04571006,1.5,-0.044152636,3.57,-0.023755367397294988,2.7161904141754203,0.050474619865417486,2.7466542144681405,0.4542715787887574,3.0409842564294647,0.2523730993270874,2.9,3.3311624859572166,-0.1,2.654611451405018,-0.9,2.112006492609823,-0.5,1.83,2.4,0.505,-2.84736488328312,1.4604727984065142,-1.4000268832147411,0.2943300419613246,0.3833457855318594,0.5426049587951947,0.6546114514050179,0.1586825146162757,19-09-30_YC018-400,-1
19-09-30_YC018,421,64,2458,3,"[5, 12, 16]",1,[5],400,23,2.55,12.05,0,0.0,0.0,0.0,3,"[38, 55, 42]","[18.384577, 21.849798, -97.58064]",1,8.763,0.25,0,0.032,5.811,0.8440000000000001,0.813,1.183,1.05,0.745,5.983,-0.7490000000000001,0.08199999999999999,2.461,0.26586770000000004,25.02,2.47,-1.0,-94.1,2.03,0.44,0.2120161935674414,0.15999999999999992,-0.018813604,1.63,0.0098419925,3.1,-0.03564530652207569,2.2545520577359603,0.02658677101135254,2.2643855517632137,0.23928093910217285,2.4062885917533303,0.1329338550567627,2.33,2.542016193567441,-0.1,2.198314544705797,-0.9,2.0712754746367605,-0.5,1.97,2.13,0.266,-11.686529219150579,3.6653901858545535,-0.6063511028858126,0.14190303999011664,0.2056144482367865,0.1270390700690367,0.16831454470579746,-0.4723200407648113,19-09-30_YC018-421,-1
19-09-30_YC018,430,85,1089,13,"[1, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[16, 17, 18]",772,13,1.15,12.32,6,,0.01,0.0,3,"[39, 46, 41]","[13.814982, 18.663418, -37.962326]",1,12.424,0.273,0,0.016,5.442,1.182,1.27,1.564,1.787,1.31,8.324,-1.298,0.195,2.324,0.49758577,18.84,2.17,-1.0,-37.86,2.0,0.17,0.16894127667683054,0.10540722998108044,-0.015433992,1.63,0.02365975,2.8,-0.0104441541132492,2.085215550490444,0.04975857734680176,2.0899821517523263,0.4478271961212159,2.1310596761209006,0.2487928867340088,2.1,2.2689412766768307,-0.1,2.078442654029718,-0.9,2.0109605051466737,-0.5,1.92459277001892,2.03,0.498,-18.75137545772499,11.349067977956848,-1.9439765728799496,0.04107752436857482,0.08001784824767366,0.06748214888304416,0.07844265402971784,0.10161648027490718,19-09-30_YC018-430,-1
19-09-30_YC018,451,198,13401,4,"[0, 1, 2, 3]",3,"[0, 1, 2]",3906,23,20.61,12.36,155,,0.04,0.05,2,"[37, 43]","[8.499023, -18.29004]",1,111.874,0.019,0,0.002,5.627000000000002,0.985,0.992,1.471,1.3030000000000002,0.966,76.98899999999998,-0.349,0.117,2.533,0.6172791,11.07,1.87,-1.0,-17.93,2.07,0.2,0.15999999999999992,0.1299999999999999,0.016117295,1.63,-0.16367286,2.7,0.014169404414011157,1.9554699860237643,0.06172791123390198,1.9554699860237643,0.5555512011051178,1.855469986023764,0.3086395561695099,1.77,1.93,-0.1,1.964108155171862,-0.9,2.025204571653523,-0.5,2.0,2.13,0.617,-10.046160525532187,7.290626860363567,-0.5418263470307573,0.10000000000000007,0.08546998602376421,0.0610964164816612,0.10589184482813783,0.8577598812003135,19-09-30_YC018-451,-1
19-09-30_YC018,472,146,1327,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[14, 15, 16]",1327,2,1.15,17.31,0,0.0,0.0,0.0,2,"[25, 40]","[18.058699, -36.480354]",1,5.921,0.765,2,0.08800000000000001,7.132999999999999,0.8740000000000001,0.8290000000000001,0.7120000000000001,1.158,0.8059999999999999,3.309,-2.108,0.102,0.778,0.46031144,17.19,1.47,-1.0,-37.34,1.97,0.5,0.13000000000000012,0.47,0.010329003,0.97,-0.005333050600000001,3.23,-0.0673851512690456,1.5939902485018167,0.046031144261360166,1.5939902485018167,0.4142802983522415,1.3439902485018167,0.23015572130680084,1.4,1.53,-0.1,1.6425513682124655,-0.9,1.9053914683613369,-0.5,1.8,2.27,0.46,-2.866740445561201,1.898300632738256,-1.1698919025882752,0.25,0.12399024850181672,0.2628401001488709,0.32744863178753425,0.2505273240002852,19-09-30_YC018-472,-1
19-09-30_YC018,481,62,15974,4,"[4, 13, 14, 16]",2,"[13, 14]",3897,26,38.61,10.96,6,0.05,0.0,0.01,2,"[42, 64]","[-59.60742, 5.7524414]",1,115.722,0.01,0,0.004,5.977,0.624,0.585,1.048,0.71,0.458,45.199,-0.187,0.043,2.247,0.16305022,9.58,2.57,-1.0,-58.76,2.0,0.57,0.39364390948560857,0.23,-0.10290727,1.8,0.0056756875,3.17,0.00265836915377647,2.3004482400904287,0.016305021941661838,2.3127967048003977,0.1467451974749565,2.501140543478658,0.08152510970830917,2.4,2.7936439094856085,-0.1,2.226103593393688,-0.9,2.0389890883881407,-0.5,1.9,2.13,0.163,-4.376491340431003,3.1108759476691,-0.33789522931209565,0.18834383867826032,0.25720329519960217,0.18711450500554733,0.2261035933936881,-0.3325949007695053,19-09-30_YC018-481,-1
19-09-30_YC018,486,202,6014,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[13, 14, 15]",6014,0,8.88,16.31,3,0.05,0.0,0.01,4,"[39, 48, 42, 60]","[13.622516, 23.49581, -46.171513, -8.456246]",1,33.183,0.048,0,0.009000000000000001,4.135,0.6729999999999999,0.584,2.325,0.809,0.519,15.276,-0.371,0.057,5.683,0.5198583999999999,23.8,2.23,-1.0,-45.78,2.03,0.2,0.148461591046138,0.1299999999999999,0.0035736111,1.6,-0.14117362,2.73,-0.0037885585497461904,2.159906218586052,0.051985841989517216,2.163634957546148,0.4678725779056549,2.2099304993012194,0.2599292099475861,2.17,2.318461591046138,-0.1,2.1516236459895275,-0.9,2.076395230281538,-0.5,2.0,2.13,0.52,-9.666049223898094,9.001554174965424,-2.3920873244193293,0.046295541755071216,0.06636504245385222,0.07522841570798944,0.12162364598952767,-1.3712215729481785,19-09-30_YC018-486,-1
19-09-30_YC018,5,4,7857,7,"[0, 1, 2, 3, 10, 11, 19]",2,"[10, 11]",2139,20,5.85,10.64,0,0.0,0.0,0.0,2,"[53, 41]","[23.21961, -37.391884]",1,43.51,0.035,0,0.006999999999999999,5.31,0.895,0.857,1.625,1.152,0.838,26.53,-0.444,0.098,2.407,0.74607897,25.7,2.4,-1.0,-34.45,1.97,0.43,0.3304362851428668,0.23,-0.060412962,1.5,0.031547632,2.87,0.0035402788403525454,2.218920417728496,0.07460789680480957,2.2293525647718067,0.6714710712432862,2.344457275823096,0.3730394840240479,2.27,2.600436285142867,-0.1,2.2057628163995084,-0.9,2.0429280700180468,-0.5,1.9,2.13,0.746,-5.920554273601241,4.928805365036523,-1.9489362593982125,0.11510471105128815,0.1706474352281928,0.16283474638146034,0.2357628163995076,0.1863960456473386,19-09-30_YC018-5,-1
19-09-30_YC018,504,246,36355,17,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",3,"[15, 16, 17]",32867,9,37.47,12.23,183,0.1,0.01,0.04,2,"[55, 42]","[3.8222656, -23.424805]",1,51.09,0.02,0,0.01,6.166,0.509,0.426,0.7090000000000001,0.5529999999999999,0.304,17.831,-0.146,0.026,2.504,0.17492184,3.91,2.33,-1.0,-22.34,2.03,0.3,0.4187683623225009,0.15999999999999992,-0.10349021,1.83,0.052713666,2.8,-0.008956279362385772,2.217203290430576,0.017492184042930604,2.2255237222543207,0.15742965638637546,2.264482568048963,0.08746092021465303,2.27,2.688768362322501,-0.1,2.1977901794927326,-0.9,2.0802206018999505,-0.5,1.97,2.13,0.175,-6.308765108987093,4.942639083274512,-0.2062934734552413,0.03895884579464237,0.10447627774567936,0.11756957759278208,0.16779017949273278,0.276643163986267,19-09-30_YC018-504,-1
19-09-30_YC018,513,246,11684,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3,"[16, 17, 18]",11449,14,14.07,12.86,28,0.14,0.0,0.01,2,"[50, 42]","[8.449014, -38.67569]",1,42.556,0.028,0,0.01,4.928,0.6990000000000001,0.629,1.7080000000000002,0.8170000000000001,0.542,19.866,-0.314,0.054000000000000006,3.604,0.27720538,10.32,2.3,-1.0,-37.23,2.03,0.27,0.3999879035083196,0.17000000000000015,-0.06165763,1.57,0.08393989999999997,2.77,-0.011577172961956024,2.183447592982845,0.0277205377817154,2.190987250823075,0.2494848400354385,2.2449308321335404,0.13860268890857694,2.2,2.5999879035083198,-0.1,2.1678809465550737,-0.9,2.05563248256954,-0.5,1.93,2.1,0.277,-5.202404723499288,5.73195331112996,-0.5834505703800168,0.053943581310465394,0.10901274917692484,0.11224846398553368,0.13788094655507388,0.30686927877532394,19-09-30_YC018-513,-1
