"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","Cluster"
0.68,1.192,7.169,0.864,1.927,"19-08-14_YC016_probe1","1047",2
1.82,0.492,7.26,0.769,2.738,"19-08-14_YC016_probe1","127",2
1.88,0.485,7.256,0.757,2.744,"19-08-14_YC016_probe1","3",2
1.52,0.581,7.235,0.773,2.366,"19-08-14_YC016_probe1","85",2
1.74,0.512,7.225,0.775,2.657,"19-08-14_YC016_probe1","9",2
1.76,0.508,7.301,0.768,2.598,"19-08-14_YC016_probe1","977",2
1.58,0.56,7.219,0.781,2.664,"19-09-30_YC017_probe1","141",2
1.4,0.592,7.079,0.869,2.944,"19-09-30_YC017_probe1","186",2
1.48,0.604,7.19,0.77,2.365,"19-09-30_YC017_probe1","305",2
1.2,0.686,7.014,0.836,2.443,"19-09-30_YC017_probe1","539",2
1.56,0.565,7.233,0.78,2.436,"19-09-30_YC018_probe1","20",2
1.39,0.635,7.045,0.798,2.245,"19-09-30_YC018_probe1","22",2
1.08,0.766,7.108,0.908,2.915,"19-09-30_YC018_probe1","400",2
1.15,0.765,7.133,0.874,3.309,"19-09-30_YC018_probe1","472",2
1.23,0.709,7.176,0.779,2.099,"19-09-30_YC018_probe1","6",2
1.02,0.799,7.03,0.843,2.414,"19-10-22_YC022_probe1","203",2
0.46,1.474,6.308,1.121,3.55,"19-10-22_YC022_probe1","949",2
0.33,1.911,6.354,0.974,1.951,"19-10-23_YC022_probe1","241",2
0.54,1.055,6.233,0.996,2.871,"19-11-05_YC037_probe1","30",2
0.56,0.727,5.115,1.048,5.37,"19-11-05_YC037_probe1","586",2
0.71,0.931,5.834,1.033,4.224,"19-11-05_YC037_probe1","588",2
1.16,0.697,6.979,0.827,2.276,"19-11-04_YC037_probe1","126",2
13.35,3.92,2.807,0.731,0.616,"19-11-04_YC036_probe1","63",2
0.58,0.996,6.273,1.038,3.378,"19-11-04_YC036_probe1","64",2
0.05,1.011,5.024,0.956,2.561,"19-11-04_YC036_probe1","86",2
0.27,0.986,3.859,1.095,2.794,"19-11-11_YC040_probe1","25",2
1.44,0.58,7.16,0.91,4.457,"18-08-31_YC003_probe1","246",2
