"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Cluster","Sample","Unit","Sample.1","Unit.1","RespPk","RespGo","RespGr","RespMF"
18.22,0.035,5.615,0.785,33.97,2,"18-09-03_YC005",130,"18-09-03_YC005",130,0,0,0,0
6.87,0.103,6.733,0.656,6.519,3,"18-09-03_YC005",133,"18-09-03_YC005",133,0,0,0,0
10.27,0.068,6.562,0.733,12.045,3,"18-09-03_YC005",150,"18-09-03_YC005",150,0,0,0,0
9.97,0.066,6.466,0.821,15.21,3,"18-09-03_YC005",210,"18-09-03_YC005",210,0,0,0,0
10.6,0.037,5.567,0.94,21.715,3,"18-09-03_YC005",35,"18-09-03_YC005",35,0,0,0,0
25.82,0.016,3.332,0.485,16.565,1,"18-09-03_YC005",37,"18-09-03_YC005",37,0,0,0,0
15.79,0.021,4.409,0.83,35.148,2,"18-09-03_YC006",104,"18-09-03_YC006",104,0,0,0,0
90.49,0.005,3.515,0.234,11.765,1,"18-09-03_YC006",119,"18-09-03_YC006",119,0,0,0,0
32.64,0.026,6.469,0.644,25.985,3,"18-09-03_YC006",159,"18-09-03_YC006",159,0,0,0,0
0.97,0.137,4.615,1.429,37.779,2,"18-09-03_YC006",19,"18-09-03_YC006",19,0,0,0,0
0.94,0.142,4.686,1.456,36.285,2,"18-09-03_YC006",20,"18-09-03_YC006",20,0,0,0,0
21.36,0.035,6.502,0.588,19.02,3,"18-09-03_YC006",225,"18-09-03_YC006",225,0,0,0,0
22.82,0.034,6.837,0.783,41.477,3,"18-09-03_YC006",31,"18-09-03_YC006",31,0,0,0,0
1.92,0.053,4.396,1.107,44.825,2,"18-09-03_YC006",373,"18-09-03_YC006",373,0,0,0,0
22.2,0.029,6.791,0.823,35.292,3,"18-09-03_YC006",388,"18-09-03_YC006",388,0,0,0,0
10.07,0.08,6.726,1.143,41.19,2,"18-09-03_YC006",41,"18-09-03_YC006",41,0,0,0,0
53.91,0.013,5.296,0.392,16.788,1,"18-09-03_YC006",62,"18-09-03_YC006",62,0,0,0,0
4,0.126,5.177,0.78,6.437,3,"18-09-03_YC006",66,"18-09-03_YC006",66,0,0,0,0
11.62,0.069,7.037,0.831,18.238,3,"18-09-03_YC006",8,"18-09-03_YC006",8,0,0,0,0
4.33,0.085,5.01,0.898,11.987,3,"18-09-03_YC006",82,"18-09-03_YC006",82,0,0,0,0
4.13,0.087,4.765,0.915,12.278,3,"18-09-03_YC006",83,"18-09-03_YC006",83,0,0,0,0
22.97,0.019,5.285,0.909,78.473,2,"18-09-03_YC006",86,"18-09-03_YC006",86,0,0,0,0
47.32,0.015,6.261,0.774,55.197,2,"18-09-03_YC006",98,"18-09-03_YC006",98,0,0,0,0
15.85,0.053,6.773,0.776,19.295,3,"19-12-13_YC007",84,"19-12-13_YC007",84,0,0,0,0
9.05,0.067,6.338,1.212,48.132,2,"18-12-13_YC008",134,"18-12-13_YC008",134,0,0,0,0
11.67,0.061,6.822,0.629,11.038,3,"18-12-13_YC008",149,"18-12-13_YC008",149,0,0,0,0
