"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","Cluster"
79,0.011,6.946,0.609,51.011,"19-01-16_YC011_probe1","26",2
116.12,0.008,7.157,0.393,33.223,"19-01-16_YC011_probe1","27",2
40.99,0.019,6.693,0.644,30.948,"19-01-16_YC011_probe1","31",2
70.21,0.013,6.993,0.413,21.192,"19-01-16_YC011_probe1","33",2
44.51,0.018,6.724,0.462,15.276,"19-01-16_YC011_probe1","35",2
55.78,0.015,6.899,0.544,28.385,"19-01-16_YC011_probe1","43",2
38.45,0.021,6.99,0.641,30.641,"19-01-16_YC011_probe1","73",2
48.74,0.018,7.158,0.539,26.65,"19-01-16_YC011_probe1","95",2
63.42,0.013,7.071,0.674,56.995,"19-01-23_YC013_probe1","17",2
26.33,0.034,6.979,0.401,7.969,"19-01-23_YC013_probe1","214",2
16,0.057,7.077,0.342,3.509,"19-01-23_YC013_probe1","270",2
44,0.019,6.915,0.54,22.523,"19-01-23_YC013_probe1","30",2
61.62,0.014,6.975,0.469,24.2,"19-01-23_YC013_probe1","60",2
31.53,0.03,7.05,0.271,4.329,"19-01-24_YC013_probe1","17",2
22.53,0.04,6.908,0.366,5.555,"19-01-24_YC013_probe1","34",2
43.84,0.023,7.297,0.093,0.712,"19-01-24_YC013_probe1","57",2
45.25,0.021,7.264,0.514,26.924,"19-01-24_YC013_probe1","575",2
32,0.028,7.13,0.233,3.657,"19-01-24_YC013_probe1","62",2
72.43,0.014,7.224,0.14,2.687,"19-01-24_YC013_probe1","64",2
15.37,0.062,7.066,0.276,2.278,"19-08-14_YC015_probe1","35",2
64.51,0.015,7.195,0.433,22.404,"19-08-14_YC015_probe1","48",2
40.45,0.019,6.488,0.575,25.172,"19-08-14_YC015_probe2","67",2
75.54,0.011,6.819,0.707,66.811,"19-08-14_YC015_probe2","71",2
37.51,0.021,6.538,0.562,23.201,"19-08-14_YC015_probe2","79",2
73.62,0.013,7.103,0.366,18.658,"19-08-14_YC015_probe2","84",2
100.05,0.009,6.934,0.364,23.524,"19-08-14_YC015_probe1","88",2
66.56,0.014,6.821,0.378,16.289,"19-08-14_YC015_probe1","94",2
170.76,0.005,5.76,0.222,17.506,"19-08-14_YC015_probe1","97",2
38.63,0.025,7.414,0.148,1.632,"19-08-14_YC015_probe2","100",2
62.65,0.015,7.209,0.357,15.238,"19-08-14_YC015_probe2","119",2
51.68,0.016,6.944,0.496,22.547,"19-08-14_YC015_probe2","128",2
54.28,0.027,6.692,0.695,25.101,"19-08-14_YC015_probe2","140",2
49.53,0.013,6.508,0.604,32.344,"19-08-14_YC015_probe2","141",2
69.21,0.013,7.018,0.408,20.821,"19-08-14_YC015_probe2","147",2
67.27,0.013,7.133,0.367,16.728,"19-08-14_YC015_probe2","176",2
67.46,0.014,6.868,0.41,21.529,"19-08-14_YC015_probe2","204",2
47.76,0.018,7.024,0.54,24.902,"19-08-14_YC015_probe2","290",2
93.06,0.01,6.925,0.304,16.192,"19-08-14_YC015_probe1","354",2
59.03,0.015,7.006,0.466,22.486,"19-08-14_YC015_probe1","392",2
50.43,0.017,7.041,0.48,20.557,"19-08-14_YC015_probe1","393",2
128.81,0.007,7.131,0.208,10.429,"19-08-14_YC015_probe1","401",2
89.19,0.01,7.126,0.289,13.338,"19-08-14_YC015_probe2","436",2
63.23,0.014,6.94,0.358,15.298,"19-08-14_YC015_probe1","590",2
37.27,0.025,7.162,0.347,8.462,"19-08-14_YC015_probe1","606",2
92.46,0.009,6.334,0.351,19.609,"19-08-14_YC015_probe1","608",2
42.77,0.02,6.88,0.418,13.922,"19-08-14_YC015_probe1","610",2
63.21,0.011,6.278,0.541,47.933,"19-08-14_YC015_probe2","631",2
35.37,0.025,7.135,0.463,13.877,"19-08-14_YC015_probe2","794",2
66.19,0.013,6.997,0.418,20.695,"19-08-14_YC015_probe1","857",2
54.26,0.017,7.117,0.345,12,"19-08-14_YC015_probe1","881",2
45.34,0.019,6.945,0.441,15.132,"19-08-14_YC015_probe1","929",2
65.97,0.014,6.981,0.362,16.175,"19-08-14_YC015_probe1","967",2
143.82,0.006,6.323,0.235,17.226,"19-08-14_YC015_probe1","1026",2
15.35,0.062,6.967,0.35,4.031,"19-08-14_YC015_probe1","1030",2
85.25,0.01,6.856,0.503,35.926,"19-08-14_YC015_probe1","1081",2
60.78,0.01,6.239,0.7,62.456,"19-08-14_YC016_probe1","100",2
99.1,0.01,6.75,0.214,8.702,"19-08-14_YC016_probe1","102",2
104.91,0.009,7.092,0.214,9.46,"19-08-14_YC016_probe1","142",2
98.42,0.009,7.088,0.266,14.163,"19-08-14_YC016_probe1","161",2
61.96,0.015,7.134,0.268,8.749,"19-08-14_YC016_probe2","17",2
33.1,0.025,6.904,0.558,21.905,"19-08-14_YC016_probe1","211",2
64.21,0.013,6.977,0.453,23.03,"19-08-14_YC016_probe1","268",2
56.4,0.016,6.877,0.379,15.21,"19-08-14_YC016_probe1","274",2
89.89,0.011,7.306,0.307,15.621,"19-08-14_YC016_probe1","298",2
101.4,0.009,7.18,0.292,15.648,"19-08-14_YC016_probe1","301",2
12.05,0.076,7.215,0.373,3.706,"19-08-14_YC016_probe1","314",2
44.5,0.021,7.076,0.355,11.131,"19-08-14_YC016_probe2","20",2
75.02,0.013,7.122,0.348,17.071,"19-08-14_YC016_probe2","22",2
27.34,0.033,6.974,0.333,6.455,"19-08-14_YC016_probe1","527",2
69.65,0.014,6.879,0.294,11.627,"19-08-14_YC016_probe1","59",2
71.48,0.014,7.195,0.181,4.427,"19-08-14_YC016_probe1","605",2
82,0.012,7.038,0.292,13.53,"19-08-14_YC016_probe1","65",2
61.31,0.015,6.883,0.412,18.499,"19-08-14_YC016_probe2","25",2
149.06,0.004,5.391,0.315,32.171,"19-08-14_YC016_probe1","67",2
124.67,0.007,6.406,0.269,18.479,"19-08-14_YC016_probe1","714",2
174.24,0.005,6.598,0.162,10.152,"19-08-14_YC016_probe1","83",2
62.75,0.014,6.947,0.367,15.825,"19-08-14_YC016_probe1","895",2
142.33,0.007,6.766,0.212,15.309,"19-08-14_YC016_probe1","953",2
92.37,0.01,7.205,0.409,28.926,"19-08-14_YC016_probe2","47",2
24.59,0.04,6.96,0.181,1.529,"19-08-14_YC016_probe2","50",2
43.06,0.02,7.023,0.469,17.718,"19-08-14_YC016_probe2","56",2
126.97,0.007,7.205,0.386,35.176,"19-08-14_YC016_probe2","65",2
77.5,0.012,7.116,0.429,27.34,"19-08-14_YC016_probe2","66",2
57.16,0.014,7.014,0.603,37.483,"19-08-14_YC016_probe2","68",2
84.5,0.011,7.103,0.421,27.915,"19-08-14_YC016_probe2","74",2
86.13,0.011,7.092,0.353,19.908,"19-08-14_YC016_probe2","83",2
70.7,0.012,6.994,0.48,29.113,"19-08-14_YC016_probe2","91",2
81.32,0.012,7.063,0.423,29.522,"19-08-14_YC016_probe2","101",2
129.2,0.006,6.428,0.337,27.418,"19-08-14_YC016_probe2","119",2
57.16,0.015,6.62,0.508,26.294,"19-08-14_YC016_probe2","126",2
