"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","Cluster"
25.25,0.027,6.425,0.761,39.484,"18-08-30_YC002",106,0,0,0,0,0,0.035,0.01786069,0.035,0.035,0.5258597,0.07,0.03,0.07,0.018608635,-0.02409848,0,0.052585971,0.473273742,0.262929857,0.526,-29.44229543,11.53425136,-1.845366981,1
4.58,0.15,6.738,0.853,9.388,"18-08-30_YC002",12,0,0,0,0,0,0.108155222,0.186507996,0.09199215,0.117933731,0.76937646,0.33,0.281337912,0.16,-0.020054394,-0.021167846,0.042206075,0.076937646,0.692438811,0.384688228,0.769,-5.230639258,6.43386184,-2.530767362,1
9.31,0.089,7.029,0.596,6.381,"18-08-30_YC002",123,0,0,0,0,0,0.083844319,0.149779645,0.133287816,0.154657253,0.5031862,0.33,0.343732175,0.17,-0.025786266,0.004124683,0.001544505,0.050318623,0.452867603,0.251593113,0.503,-8.7941123,5.44232937,-1.284958272,1
7.35,0.101,6.486,0.676,8.197,"18-08-30_YC002",129,0,0,0,0,0,0.03414252,0.07711512,0.058096164,0.0665384,0.28852963,0.16,0.122117939,0.16,-0.016540226,0.017659867,-0.014494815,0.028852963,0.259676671,0.144264817,0.289,-16.8701639,14.15502081,-0.958604631,1
11.26,0.075,6.811,0.763,16.099,"18-08-30_YC002",140,0,0,0,0,0,0.034579523,0.07120294,0.039537396,0.048841154,0.84137356,0.13,0.11850582,0.07,-0.020381529,-0.10862583,0.004402724,0.084137356,0.757236207,0.420686781,0.841,-24.25158777,18.64333941,-3.441830763,1
15.77,0.047,6.782,0.95,40.301,"18-08-30_YC002",144,0,0,0,0,0,0.046835821,0.094254683,0.069639758,0.092765583,0.5507791,0.2,0.077580481,0.13,-0.03577548,-0.034232214,-0.018031891,0.05507791,0.495701194,0.275389552,0.551,-8.753343797,10.22614316,-3.135927286,2
21.15,0.029,6.298,0.687,23.013,"18-08-30_YC002",147,0,0,0,0,0,0.039156495,0.099510771,0.070870371,0.080701183,0.20754236,0.2,0.135120203,0.07,-0.010498811,0.008989855,-0.010354479,0.020754236,0.186788124,0.10377118,0.208,-16.20493741,10.62657852,-0.725660871,1
6.44,0.064,5.247,0.832,12.822,"18-08-30_YC002",149,0,0,0,0,0,0.052018194,0.084273296,0.086423882,0.098980993,0.3091371,0.2,0.145534765,0.1,-0.011111481,0.01506888,-0.017849445,0.030913711,0.278223395,0.154568553,0.309,-17.63440222,9.366497408,-1.072972289,2
22.62,0.029,6.513,1.004,61.462,"18-08-30_YC002",153,0,0,0,0,0,0.035,0.012135341,0.035,0.035,0.22332406,0.07,0.03,0.07,0.000428176,0.022549849,0,0.022332406,0.200991654,0.11166203,0.223,-18.40278407,9.236632328,-0.667803996,2
7.81,0.08,6.145,0.758,10.724,"18-08-30_YC002",157,0,0,0,0,0,0.050337683,0.087827256,0.080368307,0.099038452,0.50789833,0.2,0.211893202,0.13,-0.03896092,0.031250466,-0.017306579,0.050789833,0.457108498,0.253949165,0.508,-6.817193689,9.503476826,-1.522662111,1
10.73,0.045,6.361,0.923,33.882,"18-08-30_YC002",158,0,0,0,0,0,0.07,0.078812015,0.07,0.07,0.25473616,0.14,0.1,0.07,-0.000571521,0.010234176,-0.052245556,0.025473616,0.22926254,0.127368078,0.255,-6.320265381,5.664729553,-0.367287039,2
31.52,0.023,6.71,0.778,41.08,"18-08-30_YC002",16,0,0,0,0,0,0.048733273,0.083635715,0.089066301,0.105190323,0.44094288,0.2,0.177934678,0.13,-0.011650928,-0.007845596,-0.013157574,0.044094288,0.396848595,0.220471442,0.441,-7.263432832,8.989783505,-1.613886088,1
7.3,0.134,6.517,0.879,10.124,"18-08-30_YC002",163,0,0,0,0,0,0.05,0.035654966,0.15,0.15,0.5265954,0.1,0.07,0.17,0.027040642,0.001275372,0,0.052659541,0.473935872,0.263297707,0.527,-17.44989355,4.56866301,-1.265738568,1
11.81,0.063,6.626,0.834,23.021,"18-08-30_YC002",169,0,0,0,0,0,0.05,0.024708863,0.05,0.05,0.57800674,0.1,0.03,0.14,0.029410778,-0.018079603,0,0.057800674,0.52020607,0.289003372,0.578,-21.79290203,9.792816018,-1.678796723,1
16.54,0.021,5.566,1.01,57.429,"18-08-30_YC002",170,0,0,0,0,0,0.07,0.066875821,0.07,0.07,0.26478073,0.14,0.1,0.1,0.014172334,0.024673035,-0.013649006,0.026478073,0.238302657,0.132390365,0.265,-8.480173094,8.055360426,-0.445597121,2
3.52,0.224,6.927,0.713,4.184,"18-08-30_YC002",180,0,0,0,0,0,0.127839415,0.160449547,0.273151154,0.304374023,0.57353985,0.5,0.331584141,0.2,-0.037896343,0.07394336,0.009303337,0.057353985,0.516185868,0.286769927,0.574,-7.485459077,3.197248816,-1.283195568,1
10.28,0.031,5.026,1.016,34.707,"18-08-30_YC002",255,0,0,0,0,0,0.068360595,0.125087571,0.082555685,0.123427895,0.5796552,0.27,0.333792159,0.13,-0.03623022,0.072641216,0.003684848,0.057965517,0.521689653,0.289827585,0.58,-8.452810863,7.290244309,-1.358089636,2
4.78,0.151,6.796,0.772,6.325,"18-08-30_YC002",330,0,0,0,0,0,0.103256242,0.194546228,0.12446519,0.171587229,0.57456666,0.4,0.3756389,0.2,-0.041277517,0.042610284,0.002597546,0.057456666,0.517109996,0.287283331,0.575,-6.182010883,4.938986144,-1.504113944,1
30.79,0.026,7.003,0.768,49.832,"18-08-30_YC002",35,0,0,0,0,0,0.034117865,0.069478826,0.046892457,0.080919127,0.6239723,0.16,0.087402196,0.12,-0.000543336,-0.12449371,-0.013806674,0.06239723,0.561575067,0.311986148,0.624,-9.58406843,13.36564416,-2.670217563,1
12.05,0.066,7.043,0.614,10.603,"18-08-30_YC002",36,0,0,0,0,0,0.074612529,0.113964421,0.077073084,0.098986526,0.911156,0.23,0.285974993,0.2,-0.03219045,-0.008217118,0.019404479,0.0911156,0.820040399,0.455577999,0.911,-3.612449743,9.933485279,-2.808841459,1
77.28,0.008,5.101,0.402,22.992,"18-08-30_YC002",37,0,0,0,0,0,0.051223063,0.108998107,0.103218782,0.129125085,0.30840385,0.26,0.464528313,0.13,-0.045315955,0.122672,0.005095758,0.030840385,0.277563465,0.154201925,0.308,-6.055875983,6.176572635,-0.476854017,2
11.27,0.056,6.653,0.697,16.854,"18-08-30_YC002",72,0,0,0,0,0,0.046763345,0.124183998,0.082159429,0.116401458,0.3999605,0.26,0.350163852,0.1,-0.003249856,0.037650403,0.032114512,0.039996049,0.359964439,0.199980244,0.4,-9.851404305,6.991615329,-0.835380065,1
8.07,0.079,6.806,0.775,9.464,"18-08-30_YC002",86,1,0,0,0,0,0.07,0.078574355,0.14,0.14,0.6716531,0.14,0.1,0.1,0.011515563,-0.017182114,-0.034143963,0.067165309,0.604487783,0.335826546,0.672,-11.87121769,7.680314407,-1.049984479,1
10.69,0.063,6.763,0.95,24.615,"18-08-30_YC002",94,0,0,0,0,0,0.073813613,0.170633998,0.135815974,0.170622697,0.36030397,0.37,0.518949371,0.27,-0.10941634,0.14871328,0.008979328,0.036030397,0.324273571,0.180151984,0.36,-3.089727074,4.612581439,-0.55697898,1
6.75,0.064,6.121,0.73,12.292,"18-08-30_YC002",95,0,0,0,0,0,0.085875693,0.145963214,0.098089505,0.126982314,0.6722233,0.3,0.269007129,0.2,-0.03181985,-0.005897345,0.030041399,0.067222333,0.605000997,0.336111665,0.672,-8.16947969,6.776846345,-2.114856185,1
15.04,0.051,6.12,1.465,65.158,"18-08-31_YC003",0,0,0,0,0,0,0.053270718,0.080317739,0.051299707,0.066162707,0.9585621,0.16,0.228423901,0.16,-0.055367358,0.009268666,0.017154429,0.095856208,0.862705868,0.479281038,0.959,-7.193814276,14.82564403,-2.857673741,2
3.91,0.117,6.072,0.989,15.58,"18-08-31_YC003",132,0,0,0,0,0,0.105731023,0.151110615,0.180196441,0.223481129,0.5560171,0.4,0.316360782,0.26,-0.043763515,0.0647114,0.011583888,0.05560171,0.500415391,0.27800855,0.556,-6.186214847,4.581208614,-1.264449042,1
