MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,Sample,Unit,Cluster
61.96,0.015,7.134,0.268,8.749,19-08-14_YC016_probe2,17,Pk
33.1,0.025,6.904,0.558,21.905,19-08-14_YC016_probe1,211,Pk
64.21,0.013,6.977,0.453,23.03,19-08-14_YC016_probe1,268,Pk
56.4,0.016,6.877,0.379,15.21,19-08-14_YC016_probe1,274,Pk
89.89,0.011,7.306,0.307,15.621,19-08-14_YC016_probe1,298,Pk
101.4,0.009,7.18,0.292,15.648,19-08-14_YC016_probe1,301,Pk
12.05,0.076,7.215,0.373,3.706,19-08-14_YC016_probe1,314,Pk
44.5,0.021,7.076,0.355,11.131,19-08-14_YC016_probe2,20,Pk
75.02,0.013,7.122,0.348,17.071,19-08-14_YC016_probe2,22,Pk
27.34,0.033,6.974,0.333,6.455,19-08-14_YC016_probe1,527,Pk
69.65,0.014,6.879,0.294,11.627,19-08-14_YC016_probe1,59,Pk
71.48,0.014,7.195,0.181,4.427,19-08-14_YC016_probe1,605,Pk
82,0.012,7.038,0.292,13.53,19-08-14_YC016_probe1,65,Pk
61.31,0.015,6.883,0.412,18.499,19-08-14_YC016_probe2,25,Pk
149.06,0.004,5.391,0.315,32.171,19-08-14_YC016_probe1,67,Pk
124.67,0.007,6.406,0.269,18.479,19-08-14_YC016_probe1,714,Pk
174.24,0.005,6.598,0.162,10.152,19-08-14_YC016_probe1,83,Pk
62.75,0.014,6.947,0.367,15.825,19-08-14_YC016_probe1,895,Pk
142.33,0.007,6.766,0.212,15.309,19-08-14_YC016_probe1,953,Pk
92.37,0.01,7.205,0.409,28.926,19-08-14_YC016_probe2,47,Pk
24.59,0.04,6.96,0.181,1.529,19-08-14_YC016_probe2,50,Pk
43.06,0.02,7.023,0.469,17.718,19-08-14_YC016_probe2,56,Pk
126.97,0.007,7.205,0.386,35.176,19-08-14_YC016_probe2,65,Pk
77.5,0.012,7.116,0.429,27.34,19-08-14_YC016_probe2,66,Pk
57.16,0.014,7.014,0.603,37.483,19-08-14_YC016_probe2,68,Pk
84.5,0.011,7.103,0.421,27.915,19-08-14_YC016_probe2,74,Pk
86.13,0.011,7.092,0.353,19.908,19-08-14_YC016_probe2,83,Pk
70.7,0.012,6.994,0.48,29.113,19-08-14_YC016_probe2,91,Pk
81.32,0.012,7.063,0.423,29.522,19-08-14_YC016_probe2,101,Pk
129.2,0.006,6.428,0.337,27.418,19-08-14_YC016_probe2,119,Pk
57.16,0.015,6.62,0.508,26.294,19-08-14_YC016_probe2,126,Pk
63.85,0.014,7.217,0.458,24.777,19-08-14_YC016_probe2,131,Pk
42.21,0.018,6.189,0.251,5.824,19-08-14_YC016_probe2,132,Pk
78.31,0.011,7.113,0.482,41.463,19-08-14_YC016_probe2,154,Pk
130.07,0.008,7.113,0.213,10.707,19-08-14_YC016_probe2,218,Pk
73.97,0.01,6.558,0.309,16.609,19-08-14_YC016_probe2,224,Pk
79.57,0.011,6.914,0.442,26.573,19-08-14_YC016_probe2,227,Pk
156.61,0.006,6.22,0.209,14.848,19-08-14_YC016_probe2,239,Pk
79.81,0.012,6.954,0.415,25.908,19-08-14_YC016_probe2,243,Pk
81.22,0.012,7.123,0.352,17.56,19-08-14_YC016_probe2,377,Pk
28.84,0.034,7.246,0.446,15.807,19-08-14_YC016_probe2,378,Pk
104.15,0.009,6.867,0.34,23.007,19-08-14_YC016_probe2,418,Pk
102.04,0.009,7.038,0.303,16.955,19-08-14_YC016_probe2,437,Pk
57.15,0.014,6.669,0.456,20.559,19-08-14_YC016_probe2,443,Pk
148.23,0.006,6.687,0.265,19.433,19-08-14_YC016_probe2,490,Pk
86.69,0.011,7.072,0.293,13.894,19-08-14_YC016_probe2,501,Pk
43.89,0.017,6.648,0.587,26.651,19-08-14_YC016_probe2,509,Pk
73.84,0.012,7.143,0.382,19.233,19-08-14_YC016_probe2,539,Pk
86.19,0.01,5.978,0.323,16.229,19-08-14_YC016_probe2,544,Pk
81.51,0.011,6.852,0.366,18.783,19-08-14_YC016_probe2,549,Pk
81.36,0.01,6.132,0.37,21.7,19-08-14_YC016_probe2,558,Pk
98.97,0.007,5.639,0.373,25.469,19-08-14_YC016_probe2,666,Pk
54.58,0.016,7.013,0.479,23.2,19-08-14_YC016_probe2,716,Pk
84.29,0.011,7.02,0.381,21.579,19-08-14_YC016_probe2,812,Pk
73.65,0.013,6.878,0.367,18.574,19-08-14_YC016_probe2,814,Pk
55.76,0.013,6.566,0.692,47.692,19-08-14_YC016_probe2,815,Pk
74.07,0.013,7.128,0.309,13.246,19-08-14_YC016_probe2,848,Pk
99.43,0.01,6.905,0.228,10.667,19-08-14_YC016_probe2,910,Pk
93.75,0.01,7.025,0.295,14.848,19-08-14_YC016_probe2,938,Pk
135.21,0.007,6.768,0.209,11.308,19-08-14_YC016_probe2,959,Pk
100.33,0.009,7.026,0.332,19.548,19-08-14_YC016_probe2,964,Pk
77.09,0.012,6.077,0.2,6.314,19-08-14_YC016_probe2,979,Pk
85.56,0.011,7.053,0.418,27.655,19-08-14_YC016_probe2,993,Pk
82.22,0.012,7.235,0.292,13.064,19-08-15_YC016_probe1,59,Pk
176.58,0.005,6.424,0.196,14.151,19-08-15_YC016_probe1,65,Pk
94.46,0.01,7.198,0.247,11.336,19-08-15_YC016_probe1,66,Pk
55.2,0.014,6.736,0.733,61.122,19-08-15_YC016_probe1,85,Pk
54.3,0.018,7.292,0.28,8.25,19-08-15_YC016_probe1,9,Pk
29.06,0.03,6.544,0.358,8.067,19-08-15_YC016_probe1,92,Pk
73.8,0.012,6.721,0.501,29.955,19-08-16_YC014_probe1,147,Pk
31.55,0.029,6.888,0.587,26.778,19-08-16_YC014_probe1,150,Pk
50.67,0.018,6.726,0.52,22.739,19-08-16_YC014_probe1,187,Pk
55.12,0.016,7.102,0.471,23.59,19-08-16_YC014_probe1,188,Pk
32.73,0.027,6.772,0.485,24.301,19-08-16_YC014_probe1,201,Pk
35.95,0.025,7.132,0.364,14.055,19-08-16_YC014_probe1,203,Pk
45.87,0.021,7.145,0.438,20.174,19-08-16_YC014_probe1,208,Pk
21.98,0.043,7.058,0.389,11.326,19-08-16_YC014_probe1,209,Pk
41.2,0.018,6.49,0.694,46.015,19-08-16_YC014_probe1,325,Pk
16.75,0.058,7.054,0.418,7.939,19-08-16_YC014_probe1,342,Pk
41.13,0.023,7.086,0.442,17.966,19-08-16_YC014_probe1,344,Pk
39.18,0.026,7.398,0.279,15.915,19-08-16_YC014_probe1,346,Pk
79.42,0.013,6.927,0.108,4.644,19-08-16_YC014_probe1,350,Pk
35.97,0.024,7.006,0.524,19.174,19-08-16_YC014_probe1,36,Pk
45.51,0.023,6.626,0.567,23.103,19-08-16_YC014_probe1,39,Pk
37.68,0.02,6.486,0.586,26.304,19-08-16_YC014_probe1,46,Pk
48.07,0.019,7.004,0.431,17.082,19-08-16_YC014_probe1,462,Pk
45.56,0.017,6.683,0.525,27.427,19-08-16_YC014_probe1,49,Pk
78.61,0.012,7.225,0.341,17.512,19-08-16_YC014_probe1,61,Pk
71.46,0.012,6.809,0.492,34.455,19-08-16_YC015_probe1,18,Pk
69.03,0.012,6.754,0.491,34.358,19-08-16_YC015_probe1,19,Pk
71.59,0.012,6.981,0.478,32.209,19-08-16_YC015_probe1,6,Pk
61.5,0.013,6.93,0.538,30.725,19-09-30_YC017_probe1,111,Pk
107.1,0.008,6.751,0.468,39.758,19-09-30_YC017_probe1,124,Pk
139.7,0.006,6.859,0.294,21.953,19-09-30_YC017_probe1,127,Pk
108.43,0.008,7.154,0.444,38.668,19-09-30_YC017_probe1,16,Pk
227.13,0.004,6.548,0.236,23.648,19-09-30_YC017_probe1,163,Pk
72.97,0.013,7.022,0.368,17.707,19-09-30_YC017_probe1,17,Pk
128,0.006,6.431,0.514,56.477,19-09-30_YC017_probe1,177,Pk
82.51,0.011,7.115,0.33,16.537,19-09-30_YC017_probe1,19,Pk
58.06,0.015,6.978,0.551,30.263,19-09-30_YC017_probe1,2,Pk
82.71,0.01,6.676,0.405,26.076,19-09-30_YC017_probe1,21,Pk
107.8,0.008,7.027,0.329,21.089,19-09-30_YC017_probe1,235,Pk
134.18,0.006,6.661,0.381,33.675,19-09-30_YC017_probe1,243,Pk
170.48,0.005,6.764,0.279,24.225,19-09-30_YC017_probe1,247,Pk
191.69,0.004,6.493,0.305,32.901,19-09-30_YC017_probe1,259,Pk
145.61,0.006,6.904,0.308,24.448,19-09-30_YC017_probe1,268,Pk
98.71,0.009,6.955,0.385,26.547,19-09-30_YC017_probe1,278,Pk
37.88,0.021,6.932,0.598,24.094,19-09-30_YC017_probe1,3,Pk
116.63,0.008,6.823,0.333,22.697,19-09-30_YC017_probe1,302,Pk
59.94,0.014,7.009,0.531,29.059,19-09-30_YC017_probe1,35,Pk
108.73,0.009,7.276,0.414,38.592,19-09-30_YC017_probe1,37,Pk
41.48,0.02,6.998,0.678,48.862,19-09-30_YC017_probe1,381,Pk
63.57,0.013,6.882,0.383,21.252,19-09-30_YC017_probe1,393,Pk
36.88,0.023,6.674,0.323,11.029,19-09-30_YC017_probe1,529,Pk
69.5,0.012,6.9,0.5,29.653,19-09-30_YC017_probe1,596,Pk
69.72,0.012,6.686,0.496,29.695,19-09-30_YC017_probe1,600,Pk
60.91,0.015,7.215,0.597,46.141,19-09-30_YC017_probe1,605,Pk
127.66,0.007,7.031,0.282,18.672,19-09-30_YC017_probe1,652,Pk
44,0.019,7.028,0.61,29.544,19-09-30_YC017_probe1,666,Pk
156.41,0.005,6.702,0.355,34.048,19-09-30_YC017_probe1,670,Pk
89.66,0.01,7.053,0.455,32.056,19-09-30_YC017_probe1,74,Pk
172.32,0.005,6.562,0.334,34.031,19-09-30_YC017_probe1,745,Pk
64.05,0.011,6.212,0.516,29.67,19-09-30_YC017_probe1,773,Pk
139.15,0.006,6.566,0.443,46.463,19-09-30_YC017_probe1,844,Pk
51.75,0.015,6.883,0.555,27.176,19-09-30_YC017_probe1,889,Pk
73.18,0.012,7.048,0.443,25.55,19-09-30_YC017_probe1,950,Pk
60.09,0.015,6.82,0.304,10.061,19-09-30_YC018_probe1,226,Pk
67.19,0.013,6.543,0.456,21.742,19-09-30_YC018_probe1,232,Pk
74.18,0.012,7.024,0.287,11.471,19-09-30_YC018_probe1,241,Pk
84.39,0.011,7.134,0.26,11.057,19-09-30_YC018_probe1,242,Pk
89.49,0.01,6.83,0.333,17.901,19-09-30_YC018_probe1,249,Pk
74.6,0.012,7.015,0.321,14.143,19-09-30_YC018_probe1,251,Pk
116.54,0.008,6.982,0.207,9.426,19-09-30_YC018_probe1,252,Pk
70.55,0.013,6.915,0.393,19.241,19-09-30_YC018_probe1,254,Pk
50.12,0.017,6.745,0.38,12.667,19-09-30_YC018_probe1,256,Pk
48.65,0.018,6.813,0.594,27.153,19-09-30_YC018_probe1,281,Pk
8.55,0.104,7.268,0.395,3.573,19-09-30_YC018_probe1,53,Pk
126.24,0.007,6.714,0.242,13.831,19-09-30_YC018_probe1,725,Pk
111.68,0.008,6.873,0.238,12.542,19-09-30_YC018_probe1,728,Pk
166.01,0.005,6.711,0.207,13.401,19-09-30_YC018_probe1,729,Pk
138.52,0.007,6.855,0.199,11.16,19-09-30_YC018_probe1,730,Pk
24,0.04,6.632,0.193,1.823,19-09-30_YC018_probe1,735,Pk
232.05,0.004,6.043,0.065,2.251,19-09-30_YC018_probe1,85,Pk
159.56,0.006,6.59,0.139,5.879,19-09-30_YC018_probe1,94,Pk
86.06,0.013,6.492,0.711,49.972,19-10-01_YC017_probe1,151,Pk
156.75,0.005,6.418,0.294,26.313,19-10-01_YC017_probe1,156,Pk
127.27,0.007,7.008,0.329,24.633,19-10-01_YC017_probe1,161,Pk
23.67,0.038,6.997,0.313,5.206,19-10-01_YC017_probe1,175,Pk
34.14,0.025,6.791,0.37,11.495,19-10-01_YC017_probe1,186,Pk
52.66,0.016,6.623,0.482,22.279,19-10-01_YC017_probe1,192,Pk
18.8,0.043,6.391,0.375,6.802,19-10-01_YC017_probe1,204,Pk
48.8,0.019,6.6,0.516,24.299,19-10-01_YC017_probe1,238,Pk
29.74,0.03,7.06,0.44,10.622,19-10-01_YC017_probe1,49,Pk
69.47,0.013,7.127,0.46,27.908,19-10-01_YC017_probe1,58,Pk
59.53,0.015,7.002,0.564,30.996,19-10-01_YC017_probe1,60,Pk
79.67,0.012,7.203,0.437,29.414,19-10-01_YC017_probe1,62,Pk
85.89,0.009,6.847,0.652,65.735,19-10-01_YC017_probe1,64,Pk
25.56,0.036,6.878,0.284,3.958,19-10-01_YC017_probe1,74,Pk
59.53,0.015,7.274,0.621,50.609,19-10-01_YC017_probe1,83,Pk
81.61,0.01,6.667,0.5,29.964,19-10-02_YC019_probe1,19,Pk
62.14,0.015,7.026,0.402,18.815,19-10-02_YC019_probe1,23,Pk
160.31,0.005,6.853,0.439,50.857,19-10-02_YC019_probe1,26,Pk
172.02,0.005,7.043,0.456,58.063,19-10-02_YC019_probe1,27,Pk
53.01,0.016,6.908,0.671,49.186,19-10-02_YC019_probe1,28,Pk
73,0.012,6.985,0.393,21.435,19-10-02_YC019_probe1,29,Pk
102.02,0.01,7.301,0.178,6.313,19-10-02_YC019_probe1,3,Pk
89.48,0.01,7.117,0.474,38.503,19-10-02_YC019_probe1,30,Pk
60.56,0.015,7.245,0.384,16.981,19-10-02_YC019_probe1,32,Pk
68.37,0.012,7.037,0.642,51.848,19-10-02_YC019_probe1,37,Pk
43.44,0.021,7.143,0.429,17.819,19-10-02_YC019_probe1,47,Pk
89.27,0.011,7.241,0.361,21.044,19-10-02_YC019_probe1,6,Pk
117.65,0.008,7.313,0.198,8.944,19-10-02_YC019_probe1,8,Pk
141.82,0.007,7.061,0.27,18.517,19-10-02_YC019_probe1,86,Pk
74.86,0.013,7.203,0.357,18.197,19-10-02_YC020_probe1,19,Pk
