"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespMLI","RespMF","RespGr","PrevClust","NewCluster"
11.9,0.055,6.282,0.681,12.718,"18-08-31_YC003_probe1",222,0,0,0,0,0,"MLI",1
9.78,0.076,6.719,0.83,16.364,"18-08-31_YC003_probe1",223,0,0,0,0,0,"MLI",1
9.68,0.078,6.669,0.71,11.006,"18-08-31_YC003_probe1",229,0,0,0,0,0,"MLI",1
5.81,0.072,5.761,1.018,24.034,"18-08-31_YC003_probe1",230,0,0,0,0,0,"MLI",1
29.54,0.025,5.241,0.85,31.314,"18-08-31_YC003_probe1",239,0,0,0,0,0,"GoMF",3
35.03,0.013,4.666,0.709,36.991,"18-08-31_YC003_probe1",295,0,0,0,0,0,"GoMF",4
68.49,0.01,5.886,0.607,41.436,"18-08-31_YC003_probe1",298,0,0,0,0,0,"Unknown",4
18.69,0.02,4.383,0.663,22.486,"18-08-31_YC003_probe1",300,0,0,0,0,0,"GoMF",3
21.99,0.032,6.487,0.793,32.097,"18-08-31_YC003_probe1",332,0,0,0,0,0,"MLI",1
15.75,0.04,6.588,0.889,29.062,"18-08-31_YC003_probe1",377,0,0,0,0,0,"MLI",1
12.52,0.063,6.995,0.712,13.35,"18-08-31_YC003_probe1",393,0,0,0,0,0,"MLI",1
22.7,0.032,7.074,0.942,85.525,"18-08-31_YC003_probe1",54,0,0,0,0,0,"GoMF",3
10.42,0.042,5.192,0.785,18.967,"18-08-31_YC003_probe1",58,0,0,0,0,0,"MLI",1
14.3,0.047,6.742,0.876,26.951,"18-08-31_YC003_probe1",641,0,0,0,0,0,"MLI",1
21.17,0.042,6.747,0.56,12.649,"18-08-31_YC003_probe1",78,0,0,0,0,0,"MLI",1
23.88,0.036,6.871,0.494,10.503,"18-08-31_YC003_probe1",80,0,0,0,0,0,"MLI",1
22.28,0.023,5.919,0.844,42.077,"18-08-31_YC003_probe1",81,0,0,0,0,0,"MLI",1
37.11,0.014,5.21,0.822,94.357,"18-08-31_YC003_probe1",92,0,0,0,0,0,"GoMF",3
21.73,0.039,7.034,0.552,16.862,"18-08-31_YC003_probe1",97,0,0,0,0,0,"MLI",1
10.04,0.077,6.784,0.595,7.512,"18-08-31_YC004_probe1",107,0,0,0,0,0,"MLI",1
1.72,0.505,6.484,1.315,12.038,"18-08-31_YC004_probe1",164,0,0,0,0,0,"Gr",2
5.47,0.128,6.609,0.705,6.795,"18-08-31_YC004_probe1",22,0,0,0,0,0,"MLI",1
28.16,0.018,3.972,0.466,13.29,"18-08-31_YC004_probe1",26,0,0,0,0,0,"Unknown",4
2.17,0.233,5.889,0.837,4.542,"18-08-31_YC004_probe1",65,0,0,0,0,0,"Gr",2
8.39,0.087,6.658,0.66,7.277,"18-08-31_YC004_probe1",69,0,0,0,0,0,"MLI",1
5.82,0.134,6.817,0.63,5.064,"18-08-31_YC004_probe1",73,0,0,0,0,0,"MLI",1
16.21,0.022,5.08,1.013,79.179,"18-08-31_YC004_probe1",74,0,0,0,0,0,"GoMF",3
2.81,0.192,6.159,1.141,14.419,"18-09-03_YC005_probe1",0,0,0,0,0,0,"Gr",2
9.74,0.074,6.43,0.852,13.645,"18-09-03_YC005_probe1",107,0,0,0,0,0,"MLI",1
18.22,0.035,5.615,0.785,33.97,"18-09-03_YC005_probe1",130,0,0,0,0,0,"MLI",3
6.87,0.103,6.733,0.656,6.519,"18-09-03_YC005_probe1",133,0,0,0,0,0,"MLI",1
10.27,0.068,6.562,0.733,12.045,"18-09-03_YC005_probe1",150,0,0,0,0,0,"MLI",1
9.97,0.066,6.466,0.821,15.21,"18-09-03_YC005_probe1",210,0,0,0,0,0,"MLI",1
10.6,0.037,5.567,0.94,21.715,"18-09-03_YC005_probe1",35,0,0,0,0,0,"GoMF",3
25.82,0.016,3.332,0.485,16.565,"18-09-03_YC005_probe1",37,0,0,0,0,0,"Unknown",4
