"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","Cluster"
1.77,0.504,7.286,0.786,2.834,"18-08-31_YC003",124,0,0,0,0,0,3
1.7,0.489,7.2,0.819,2.957,"18-08-31_YC003",127,0,0,0,0,0,3
3.91,0.117,6.072,0.989,15.58,"18-08-31_YC003",132,0,0,0,0,0,2
1.44,0.636,7.291,0.771,2.325,"18-08-31_YC003",133,0,0,0,0,0,3
1.65,0.54,7.304,0.757,2.483,"18-08-31_YC003",134,0,0,0,0,0,3
1.84,0.479,7.269,0.746,2.658,"18-08-31_YC003",135,0,0,0,0,0,3
1.52,0.578,7.225,0.806,2.62,"18-08-31_YC003",137,0,0,0,0,0,3
1.03,0.898,7.342,0.739,1.752,"18-08-31_YC003",139,0,0,0,0,0,3
11.85,0.022,3.429,0.644,14.609,"18-08-31_YC003",152,0,0,0,0,0,2
8.2,0.078,6.351,0.769,11.322,"18-08-31_YC003",160,0,0,0,0,0,2
2.96,0.224,6.78,0.938,7.497,"18-08-31_YC003",162,0,0,0,0,0,2
11.62,0.065,6.937,0.759,14.061,"18-08-31_YC003",169,0,0,0,0,0,2
23.47,0.034,5.255,0.923,26.012,"18-08-31_YC003",170,0,0,0,0,0,2
2.07,0.104,6.241,0.857,10.877,"18-08-31_YC003",173,0,0,0,0,0,2
17.6,0.048,6.556,0.577,13.036,"18-08-31_YC003",175,0,0,0,0,0,1
15.79,0.037,6.554,0.981,40.142,"18-08-31_YC003",181,0,0,0,0,0,2
77.85,0.008,5.419,0.394,22.482,"18-08-31_YC003",184,0,0,0,0,0,2
62.17,0.01,4.68,0.412,19.931,"18-08-31_YC003",186,0,0,0,0,0,2
1.49,0.578,7.196,0.77,2.402,"18-08-31_YC003",187,0,0,0,0,0,3
14.93,0.039,6.495,0.926,33.433,"18-08-31_YC003",189,0,0,0,0,0,2
9.5,0.074,6.7,0.87,26.206,"18-08-31_YC003",190,0,0,0,0,0,2
73.25,0.008,5.337,0.533,35.364,"18-08-31_YC003",194,0,0,0,0,0,2
28.66,0.024,6.696,0.744,33.235,"18-08-31_YC003",196,0,0,0,0,0,2
87.02,0.008,6.379,0.453,30.123,"18-08-31_YC003",201,0,0,0,0,0,1
7.92,0.093,6.73,0.725,9.259,"18-08-31_YC003",208,0,0,0,0,0,2
5.48,0.119,6.376,0.761,8.42,"18-08-31_YC003",209,0,0,0,0,0,2
27.74,0.027,6.573,0.716,31.866,"18-08-31_YC003",218,0,0,0,0,0,2
11.9,0.055,6.282,0.681,12.718,"18-08-31_YC003",222,0,0,0,0,0,2
9.78,0.076,6.719,0.83,16.364,"18-08-31_YC003",223,0,0,0,0,0,2
0.87,0.857,4.882,1.122,3.226,"18-08-31_YC003",224,0,0,0,0,0,3
9.68,0.078,6.669,0.71,11.006,"18-08-31_YC003",229,0,0,0,0,0,2
5.81,0.072,5.761,1.018,24.034,"18-08-31_YC003",230,0,0,0,0,0,2
87.62,0.009,5.916,0.374,21.559,"18-08-31_YC003",231,0,0,0,0,0,1
1.83,0.438,7.077,0.791,2.942,"18-08-31_YC003",232,0,0,0,0,0,3
29.54,0.025,5.241,0.85,31.314,"18-08-31_YC003",239,0,0,0,0,0,2
70.98,0.012,6.126,0.375,17.329,"18-08-31_YC003",257,0,0,0,0,0,1
1.4,0.605,7.151,0.771,2.273,"18-08-31_YC003",277,0,0,0,0,0,3
