MFRBlockHz,tf_MedIsi,tf_Entropy,tf_CV2Mean,tf_LvR,SampleP,Sample,Unit,RespPk,RespGo,RespGr,RespMF,RespMLI,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_ModeIsi,tf_Perc5Isi,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_Si,tf_skw,wf_EndSlopeTau
7.67,0.085,6.399,0.903,19.027,18-08-30_YC001,18-08-30_YC001_probe1,194,0,0,0,0,0,0.043924904,0.09802747,0.095677066,0.112866895,0.27081868,0.23,0.217295589,0.1,-0.010452434,0.014964676,0.003041025,0.027081868,0.243736812,0.13540934,0.271,-16.17726245,5.817393462,-0.759657819,2,1,3,Potentially MLI,13.98,0.02,26.446,0,0.009,0.867,1.075,1.157,0.837,0.097,2.106,0.176101481
1.55,0.459,6.02,0.855,3.288,18-08-30_YC001,18-08-30_YC001_probe1,195,0,0,0,0,0,0.197715905,0.262982354,0.262046507,0.357399219,0.54426706,0.67,0.50789657,0.5,-0.17880653,0.13388374,0.020358799,0.054426706,0.489840353,0.272133529,0.544,-1.593109485,2.725822242,-0.940278556,2,2,4,Granule,14.7,0,3.919,1,0.079,0.822,0.955,1.059,0.767,0.083,1.809,0.30178796
11.5,0.031,5.746,1.129,44.549,18-08-30_YC001,18-08-30_YC001_probe1,198,0,0,0,0,0,0.053737167,0.07005204,0.066445936,0.074951106,0.4440142,0.16,0.145709897,0.12,-0.008101095,0.01030984,-0.014050978,0.044401419,0.399612772,0.222007096,0.444,-8.832412431,10.40264235,-1.477645268,2,3,5,Go + MF,24.18,0,67.14,0,0.004,1.209,1.375,1.618,1.219,0.165,2.156,0.102015849
1.22,0.7,7.212,0.832,2.401,18-08-30_YC001,18-08-30_YC001_probe1,20,0,0,0,0,0,0.165,0.095670306,0.122559052,0.220398148,0.41959164,0.33,0.2,0.46,0.014703613,-0.22677454,0.005355424,0.041959164,0.377632472,0.209795818,0.42,-5.386673344,1.688288149,0,3,,2,Complex Spike,20.29,0,2.319,1,0.132,0.82,0.686,0.992,0.71,0.071,0.741,0.263129907
19.86,0.045,7.056,0.737,37.53,18-08-30_YC001,18-08-30_YC001_probe1,200,0,0,0,0,0,0.058612158,0.079897134,0.053307722,0.059587644,0.29538584,0.16,0.142897174,0.07,-0.006279357,0.015006839,-0.008572921,0.029538584,0.265847254,0.147692919,0.295,-16.17080705,15.09808836,-1.241719661,2,1,3,Potentially MLI,18.18,0.02,57.607,0,0.004,0.641,0.752,0.893,0.612,0.065,0.909,0.088898958
1.48,0.059,3.643,1.024,16.324,18-08-30_YC001,18-08-30_YC001_probe1,201,0,0,0,0,0,0.05,0.022541371,0.1,0.1,0.26569414,0.1,0.05,0.1,-0.000317018,0.042373393,0,0.026569414,0.239124727,0.132847071,0.266,-15.42972227,7.102443461,-0.540627575,2,3,5,Go + MF,14.89,0,30.775,0,0.009,0.976,2.279,1.55,1.087,0.167,3.238,0.063163406
2.93,0.201,6.342,0.837,6.863,18-08-30_YC001,18-08-30_YC001_probe1,204,0,0,0,0,0,0.075172893,0.165933427,0.094830889,0.136399614,0.54554296,0.33,0.334932361,0.17,-0.019954793,0.02685425,0.064705556,0.054554296,0.49098866,0.272771478,0.546,-7.808386694,5.990485302,-1.395772614,2,2,4,Granule,29.84,0,10.323,0,0.026,0.78,1.104,1.038,0.736,0.081,1.827,0.197665517
24.44,0.029,6.495,0.68,33.107,18-08-30_YC001,18-08-30_YC001_probe1,205,0,0,0,0,0,0.028347943,0.051794192,0.054480275,0.061243381,0.18727201,0.13,0.121278927,0.105,-0.010475036,0.00856662,-0.053245153,0.018727201,0.168544811,0.093636006,0.187,-15.19472339,14.78610436,-0.562225594,2,1,3,Potentially MLI,23.15,0,58.448,0,0.005,0.608,0.946,0.786,0.51,0.05,1.972,0.125606875
6.17,0.113,6.537,0.701,6.992,18-08-30_YC001,18-08-30_YC001_probe1,206,0,0,0,0,0,0.020740234,0.042632693,0.044519373,0.050862737,0.38438657,0.1,0.12285853,0.07,-0.010749787,0.01122958,0,0.038438657,0.345947912,0.192193285,0.384,-16.48277971,15.76450467,-1.461254639,2,1,3,Potentially MLI,31.67,0,11.686,0,0.031,0.637,0.864,0.807,0.531,0.051,1.866,0.087398069
27.64,0.026,6.758,0.681,31.789,18-08-30_YC001,18-08-30_YC001_probe1,209,0,0,0,0,0,0.055442348,0.074387151,0.061145354,0.069112996,0.4385562,0.16,0.07520891,0.12,-0.016629986,0.009188014,-0.010937948,0.043855619,0.394700575,0.219278097,0.439,-16.94269611,13.80098437,-1.825565934,2,1,3,Potentially MLI,15.02,0.01,59.204,0,0.005,0.624,0.861,0.777,0.502,0.047,1.525,0.063723918
