Sample,Unit,PeakChUnit,SpikesUnit,GoodChunks,GoodChunksList,WvfChunks,WvfChunksList,SpikesBlock,PercMissingSpikesBlock,MFRBlockHz,MeanAmpBlock,RPVBlock,FpBlockFancy,FpBlockSimple,ACGViolationRatio,WvfPeaksBlock,PeaksBlock_x,PeaksBlock_y,BigPkNegBlock,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_LcV,tf_Si,tf_skw,wf_MaxAmpNorm,wf_MaxAmp,wf_MaxAmpTime,wf_MinAmpNorm,wf_MinAmp,wf_MinAmpTime,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_OnsetTime,wf_End,wf_EndTime,wf_Crossing,wf_CrossingTime,wf_Pk10,wf_Pk10Time,wf_Pk90,wf_Pk90Time,wf_Pk50,wf_Pk50Time1,wf_Pk50Time2,wf_Tr10,wf_Tr10Time,wf_Tr90,wf_Tr90Time,wf_Tr50,wf_Tr50Time1,wf_Tr50Time2,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_EndSlopeTau,key,ResponsiveUnit_-1,ResponsiveUnit_GrC,ResponsiveUnit_MF,ResponsiveUnit_Pk
19-08-14_YC016,131,94,74635,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",74635,0,63.85,18.26,34,0,0,0,3,"[39, 49, 42]","[30.010742, 26.842773, -106.03027]",1,77.123,0.014,0,0.007,7.217,0.458,0.406,0.436,0.483,0.234,24.777,-0.103,0.019,0.844,0.31004122,30.89,1.93,-1,-99.63,2.03,0.1,0.03,0.1,-0.002375817,1.83,0.009024871,2.77,0,1.955925678,0.031004122,1.955925678,0.279037097,1.905925678,0.155020609,1.9,1.93,-0.1,1.98,-0.9,2.03,-0.5,2,2.1,0.31,-14.60611807,8.418844191,-0.817998496,0.05,0.025925678,0.05,0.110280534,0.049435722,19-08-14_YC016-131,1,0,0,0
19-08-14_YC016,132,98,46010,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",46010,0,42.21,18.27,42,0.01,0,0.01,3,"[36, 48, 41]","[16.111328, 27.97168, -71.80762]",1,56.071,0.018,0,0.009,6.189,0.251,0.19,0.749,0.258,0.085,5.824,-0.153,0.007,2.275,0.4465552,22.66,2.27,-1,-50.73,2,0.27,0.198093023,0.17,-0.029177554,1.7,0.005435183,2.57,-0.000503461,2.154049546,0.04465552,2.16057384,0.401899678,2.217452233,0.223277599,2.2,2.398093023,-0.1,2.140327796,-0.9,2.033038489,-0.5,1.93,2.1,0.447,-10.27385049,6.796301084,-1.566031635,0.056878393,0.10942616,0.107289306,0.140327796,-0.535348675,19-08-14_YC016-132,1,0,0,0
19-08-14_YC016,135,100,23312,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",23312,1,23.68,13.6,17,0.02,0,0.02,3,"[36, 47, 40]","[10.803711, 12.674805, -104.666016]",1,37.19,0.032,0,0.012,6.158,0.6,0.537,0.835,0.665,0.398,17.183,-0.197,0.036,2.554,0.14022578,12.8,1.87,-1,-91.29,1.97,0.1,0.05,0.1,-0.017288748,1.77,-0.00775124,2.73,0,1.893345281,0.014022578,1.893345281,0.126203205,1.843345281,0.070112891,1.843345281,1.893345281,-0.1,1.92,-0.9,1.97,-0.5,1.93,2.03,0.14,-8.607168744,7.743859468,-0.45265495,0.05,0.023345281,0.05,0.140327796,0.065963147,19-08-14_YC016-135,1,0,0,0
19-08-14_YC016,136,100,7388,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[16, 17, 18]",7388,0,7.77,25.25,6,0.07,0,0.02,4,"[38, 48, 66, 41]","[21.116785, 8.747693, 2.4857836, -53.119415]",1,13.178,0.092,0,0.031,5.762,0.566,0.492,0.963,0.627,0.368,5.783,-0.307,0.033,3.268,0.4705818,18.16,1.9,-1,-38.6,2,0.1,0.06,0.1,-0.023300467,1.83,-0.03597607,2.73,0,1.932227009,0.04705818,1.932227009,0.42352362,1.882227009,0.2352909,1.87,1.93,-0.1,1.95,-0.9,2,-0.5,1.97,2.07,0.471,-16.58051286,7.489103636,-0.808434462,0.05,0.032227009,0.05,0.140327796,0.061889464,19-08-14_YC016-136,1,0,0,0
19-08-14_YC016,154,113,90510,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[17, 19, 18]",90510,1,78.31,10.86,246,0.02,0,0.02,3,"[37, 49, 41]","[7.520508, 4.0185547, -41.564453]",1,108.339,0.011,0,0.004,7.113,0.482,0.4,0.56,0.521,0.277,41.463,-0.127,0.024,1.059,0.21865538,8.62,1.9,-1,-39.42,2,0.1,0.05,0.13,-0.009244636,1.73,-0.028064921,2.73,0,1.92650703,0.021865538,1.92650703,0.19678984,1.87650703,0.109327689,1.87650703,1.92650703,-0.1,1.95,-0.9,2,-0.5,1.97,2.1,0.219,-10.50263567,6.202369262,-0.416346653,0.05,0.02650703,0.05,0.140327796,0.087819963,19-08-14_YC016-154,1,0,0,0
19-08-14_YC016,166,116,19573,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[16, 17, 18]",19573,0,18.53,14.34,90,0.17,0,0,3,"[39, 47, 43]","[44.015625, 34.6709, -48.256836]",1,32.562,0.042,0,0.011,6.469,0.631,0.557,0.837,0.71,0.44,17.111,-0.241,0.041,2.171,0.9745377,46.3,1.93,-1,-47.51,2.07,0.14,0.1,0.07,0.047079604,1.8,-0.15405428,2.7,-0.003801684,2.00628456,0.097453767,2.00628456,0.877083904,1.93628456,0.487268835,1.9,2,-0.1,2,-0.9,2.07,-0.5,2.03,2.1,0.975,-17.3115078,14.03201431,-3.082664558,0.07,0.07628456,0.07,0.140327796,-5.820937672,19-08-14_YC016-166,1,0,0,0
19-08-14_YC016,167,116,26293,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[16, 17, 18]",26293,0,28.23,14.84,249,0.32,0.01,0,2,"[46, 41]","[25.524414, -90.76367]",1,85.962,0.024,0,0.003,6.107,0.925,0.904,1.081,1.19,0.874,63.762,-0.279,0.101,2.434,0.25437546,20.15,2.13,-1,-79.22,2,0.13,0.167449088,0.1,-0.012487932,1.73,0.006866339,2.47,-0.010275794,2.086953876,0.025437546,2.088903036,0.228937912,2.116725419,0.127187729,2.1,2.267449088,-0.1,2.078828243,-0.9,2.009733766,-0.5,1.93,2.03,0.254,-10.37928864,10.27351618,-0.872537069,0.027822383,0.041096964,0.069094477,0.078828243,-0.528528985,19-08-14_YC016-167,1,0,0,0
19-08-14_YC016,17,14,73023,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[1, 0, 2]",73023,0,61.96,15.61,83,0.01,0,0.01,2,"[48, 41]","[124.78906, -199.01074]",1,68.344,0.015,0,0.009,7.134,0.268,0.219,0.32,0.274,0.087,8.749,-0.075,0.007,0.855,0.6871482,116.05,2.23,-1,-168.88,2,0.23,0.285572568,0.17,-0.034132168,1.63,0.03552709,2.8,0.017773607,2.10305169,0.068714821,2.110306294,0.618433392,2.176294171,0.343574107,2.13,2.415572568,-0.1,2.093754724,-0.9,2.013774047,-0.5,1.9,2.07,0.687,-5.023038079,10.28985326,-1.802060863,0.065987876,0.119693706,0.079980677,0.093754724,0.201442354,19-08-14_YC016-17,1,0,0,0
19-08-14_YC016,171,121,5893,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"[10, 11, 12]",5893,0,5.45,25.96,0,0,0,0,2,"[52, 44]","[66.9248, -107.460205]",1,16.515,0.123,0,0.016,6.651,0.795,0.748,0.984,0.963,0.678,9.823,-0.495,0.071,1.534,0.7551732,74.48,2.37,-1,-98.62,2.1,0.27,0.316247976,0.27,-0.035883527,1.7,0.025120098,2.77,0.039396915,2.213897597,0.075517321,2.222436728,0.679655886,2.292777476,0.377586603,2.23,2.546247976,-0.1,2.203118423,-0.9,2.123566981,-0.5,1.9,2.17,0.755,-2.779938126,9.683496179,-2.135361498,0.070340748,0.147563272,0.079551442,0.103118423,0.163592779,19-08-14_YC016-171,1,0,0,0
19-08-14_YC016,173,117,19854,12,"[4, 5, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19]",3,"[13, 14, 15]",13737,19,21.69,12.1,125,0.39,0.01,0.01,3,"[41, 50, 44]","[12.441406, 15.643555, -80.76758]",1,37.568,0.036,0,0.01,6.379,0.672,0.603,0.89,0.771,0.497,21.344,-0.244,0.048,2.185,0.34081835,23.14,2.3,-1,-67.88,2.1,0.2,0.188868676,0.1,-0.014756194,1.7,0.012433002,2.97,-0.015933463,2.21386725,0.034081835,2.221467435,0.306736511,2.257086696,0.170409173,2.23,2.418868676,-0.1,2.203780696,-0.9,2.13689369,-0.5,2.07,2.17,0.341,-12.78426067,9.034529508,-0.872163404,0.035619261,0.078532565,0.066887006,0.103780696,0.1481741,19-08-14_YC016-173,1,0,0,0
