"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"19-08-14_YC016_probe2","19-08-14_YC016",18,2.11,16.19,0,7.178,0.317,0,0.032,6.71,0.958,0.959,0.954,1.243,0.923,6.176,0.108,1.48,0.068864143,0.126489575,0.08662874,0.116116755,0.6426967,0.26,0.31524765,0.16,-0.031686537,0.038060714,0.00939783,0.064269668,0.578427011,0.321348339,0.643,-5.172789369,8.72331204,-1.535284156,0.227912298,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"19-09-30_YC017_probe1","19-09-30_YC017",328,2.86,23.12,0,85.156,0.256,0,0.003,6.123,1.307,1.538,1.011,2.641,1.635,20.781,0.365,1.024,0.078003516,0.147280842,0.081259288,0.100934928,0.78480446,0.27,0.379555153,0.2,-0.19919111,0.1815435,0.01727763,0.078480446,0.706324017,0.392402232,0.785,-4.618608477,8.198221521,-1.693435916,0.246079958,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,2
"19-09-30_YC018_probe1","19-09-30_YC018",160,1.1,26.51,0,3.568,0.401,1,0.095,5.028,0.828,0.735,1.607,1.015,0.722,2.749,0.078,3.722,0.054815529,0.129219153,0.083376438,0.117333701,0.44988832,0.27,0.27930544,0.14,-0.017898493,-0.00698169,0.047838369,0.044988832,0.404899487,0.224944159,0.45,-9.023481409,7.092698481,-1.338792608,0.172671488,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,1
"19-09-30_YC018_probe1","19-09-30_YC018",421,2.55,12.05,0,8.763,0.25,0,0.032,5.811,0.844,0.813,1.183,1.05,0.745,5.983,0.082,2.461,0.14190304,0.205614448,0.12703907,0.168314545,0.2658677,0.44,0.212016194,0.16,-0.018813604,0.009841993,-0.035645307,0.026586771,0.239280939,0.132933855,0.266,-11.68652922,3.665390186,-0.606351103,-0.472320041,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"19-09-30_YC018_probe1","19-09-30_YC018",430,1.15,12.32,0,12.424,0.273,0,0.016,5.442,1.182,1.27,1.564,1.787,1.31,8.324,0.195,2.324,0.041077524,0.080017848,0.067482149,0.078442654,0.49758577,0.17,0.168941277,0.10540723,-0.015433992,0.02365975,-0.010444154,0.049758577,0.447827196,0.248792887,0.498,-18.75137546,11.34906798,-1.943976573,0.10161648,2,2,4,"Granule",0,0,0,0,0,2,"Gr",4,2
"19-10-22_YC022_probe1","19-10-22_YC022",103,2.73,13.82,0,8.354,0.218,0,0.034,6.401,0.897,0.873,1.059,1.116,0.816,6.295,0.089,1.799,0.098753578,0.130599863,0.132614413,0.17436531,0.5916605,0.33,0.361861916,0.2,-0.040109474,0.09523408,-0.000750748,0.05916605,0.53249445,0.29583025,0.592,-5.856279095,5.575418064,-1.243844927,0.264123319,2,2,4,"Granule",0,0,0,0,0,1,"Gr",4,1
"19-10-22_YC022_probe1","19-10-22_YC022",173,2.6,11.85,0,16.933,0.165,0,0.015,5.214,1.008,1.04,1.71,1.359,1.003,12.865,0.126,3.475,0.038195836,0.06978309,0.07591168,0.087738481,0.37685385,0.17,0.085516936,0.14,-0.019461697,-0.017475812,0.008813141,0.037685385,0.339168468,0.188426927,0.377,-10.06098223,10.22434024,-1.54391525,-0.607797869,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,2
"19-10-22_YC022_probe1","19-10-22_YC022",308,3.53,10,0,10.371,0.222,0,0.025,6.506,0.911,0.963,0.849,1.182,0.866,7.733,0.102,1.116,0.11931089,0.237760378,0.166427274,0.21651013,0.42632973,0.5,0.657440043,0.26,-0.20338115,0.21309248,0.025327626,0.042632973,0.383696759,0.213164866,0.426,-3.82702546,3.431978973,-0.548106545,0.51814573,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
"19-10-22_YC022_probe1","19-10-22_YC022",874,9.21,13.02,0.02,6.858,0.262,0,0.05,4.319,0.901,0.824,1.476,1.129,0.79,4.967,0.09,2.825,0.035502914,0.083542493,0.065842078,0.076299106,0.4696101,0.17,0.15978847,0.1,-0.028478594,0.04204893,-0.02060555,0.04696101,0.422649086,0.234805048,0.47,-9.135105535,11.73144816,-1.659406575,0.107383053,2,2,4,"Granule",0,0,0,0,0,3,"Gr",4,2
"19-10-23_YC022_probe1","19-10-23_YC022",200,1.1,12.33,0,6.198,0.476,0,0.037,6.347,1.001,1.027,1.134,1.333,0.993,5.291,0.121,1.611,0.094228772,0.168933888,0.105494901,0.126530791,0.4240209,0.33,0.372996623,0.17,-0.06938268,0.03129497,0.021575795,0.042402089,0.381618798,0.212010443,0.424,-6.220318666,4.957927691,-0.870784205,0.221767811,2,2,4,"Granule",0,0,0,0,0,4,"Gr",4,1
