Sample,SampleP,Unit,MFRBlockHz,MeanAmpBlock,ACGViolationRatio,tf_MIFRBlockHz,tf_MedIsi,tf_ModeIsi,tf_Perc5Isi,tf_Entropy,tf_CV2Mean,tf_CV2Median,tf_CV,tf_Ir,tf_Lv,tf_LvR,tf_Si,tf_skw,wf_RiseTime,wf_PosDecayTime,wf_FallTime,wf_NegDecayTime,wf_MaxAmpNorm,wf_Duration,wf_PosHwDuration,wf_NegHwDuration,wf_Onset,wf_End,wf_Crossing,wf_Pk10,wf_Pk90,wf_Pk50,wf_PkTrRatio,wf_DepolarizationSlope,wf_RepolarizationSlope,wf_RecoverySlope,wf_EndSlopeTau,Cluster_x,Cluster_y,SmallCluster,SmallClusterName,RespPk,RespGo,RespGr,RespMF,RespMLI,ClusterACG,Cluster,ClusterNo,NewCluster
19-08-16_YC014_probe1,19-08-16_YC014,61,78.61,14.14,0.01,87.736,0.012,0,0.007,7.225,0.341,0.292,0.324,0.352,0.135,17.512,0.01,0.579,0.065,0.057096701,0.065,0.065,1.3286601,0.13,0.1,0.1,0.057830248,-0.15066148,0.001783429,0.132866013,1.195794117,0.664330065,1.329,-21.42967595,12.87327097,-4.584175996,-1.642992717,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-10-03_YC019_probe1,19-10-03_YC019,175,93.54,15.02,0.01,116.318,0.009,0,0.005,6.725,0.402,0.326,0.543,0.423,0.196,26.278,0.016,1.631,0.02465904,0.072725321,0.11148646,0.128723273,0.10029405,0.23,0.175,0.17,-0.14129366,0.001840874,-0.021803047,0.010029405,0.090264648,0.050147027,0.1,-5.464414395,5.823077145,-0.313936264,-0.242797331,1,NA,1,Purkinke,0,0,0,0,0,5,Pk,1,1
19-08-14_YC016_probe1,19-08-14_YC016,65,82,14.17,0,90.286,0.012,0,0.007,7.038,0.292,0.24,0.315,0.3,0.104,13.53,0.008,0.844,0.033651404,0.076603233,0.074494492,0.110108925,0.32097185,0.2,0.329140679,0.14,-0.014565497,0.016664676,-0.021992918,0.032097185,0.288874662,0.160485923,0.321,-10.60046146,8.424613016,-0.718411162,0.35971048,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-10-03_YC019_probe1,19-10-03_YC019,136,77.1,13.75,0,87.896,0.012,0,0.007,6.89,0.349,0.282,0.392,0.362,0.147,16.844,0.012,1.485,0.031474398,0.076433667,0.087855126,0.130566907,0.20634939,0.23,0.240600991,0.17,-0.092804715,0.00908951,-0.027095645,0.020634939,0.185714449,0.103174694,0.206,-9.028713647,7.223694594,-0.535028931,0.591157999,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-11-08_YC038_probe2,19-11-08_YC038,197,93.96,19.76,0,102.842,0.01,0,0.007,6.915,0.312,0.251,0.336,0.321,0.119,16.251,0.009,1.476,0.014152054,0.055605567,0.109113649,0.153296057,0.06341885,0.23,0.171303365,0.14,-0.023331424,0.006473161,-0.02611123,0.006341885,0.057076965,0.031709425,0.063,-7.921472677,6.064323142,-0.196674882,2.71654275,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-08-14_YC015_probe1,19-08-14_YC015,35,15.37,11.91,0,16.575,0.062,0,0.039,7.066,0.276,0.232,0.287,0.282,0.09,2.278,0.007,0.942,0.05,0.024441373,0.05,0.05,0.41683796,0.1,0.03,0.06,0.015277253,0.000915029,0,0.041683796,0.375154164,0.20841898,0.417,-18.88202583,10.15012138,-1.021428108,0.183217146,1,NA,1,Purkinke,0,0,0,0,0,1,Pk,1,1
19-01-16_YC011_probe1,19-01-16_YC011,192,125.77,13.88,0,142.711,0.007,0,0.005,6.403,0.332,0.212,0.441,0.347,0.153,25.007,0.012,1.99,0.073865775,0.159363554,0.14067885,0.183908826,0.3853669,0.37,0.426772379,0.26,-0.08571914,0.10794431,0.010879387,0.038536689,0.346830198,0.192683443,0.385,-3.419267804,4.756946012,-0.699853988,0.315715073,1,NA,1,Purkinke,1,0,0,0,0,4,Pk,1,1
19-08-14_YC016_probe2,19-08-14_YC016,25,61.31,14.76,0,71.64,0.015,0,0.008,6.883,0.412,0.353,0.462,0.432,0.196,18.499,0.016,1.44,0.050182186,0.087719585,0.063593656,0.072449737,0.71900725,0.17,0.248122387,0.1,-0.040216833,0.036710575,-0.021947053,0.071900725,0.647106528,0.359503627,0.719,-9.839213665,12.34116816,-2.155086914,0.173259533,1,NA,1,Purkinke,0,0,0,0,0,3,Pk,1,1
19-10-03_YC019_probe1,19-10-03_YC019,97,93.99,13.27,0.01,122.965,0.008,0,0.005,6.736,0.498,0.43,0.602,0.534,0.288,39.279,0.024,1.533,0.08,0.057868759,0.16,0.16,0.30034462,0.16,0.1,0.16,0.003145683,-0.01854303,-0.01231246,0.030034462,0.270310155,0.150172308,0.3,-9.457042242,5.880457818,-0.079490936,0.110994772,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
19-09-30_YC017_probe1,19-09-30_YC017,670,156.41,12.73,0.01,178.527,0.005,0,0.004,6.702,0.355,0.277,0.427,0.37,0.157,34.048,0.012,1.655,0.063385131,0.125697959,0.118117139,0.151280396,0.38696787,0.3,0.397010976,0.3,-0.22601642,0.118574336,-0.011729845,0.038696787,0.348271081,0.193483934,0.387,-2.033907885,5.717197997,-0.691084993,0.328418938,1,NA,1,Purkinke,0,0,0,0,0,4,Pk,1,1
