"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC001_probe1","18-08-30_YC001",76,11.47,14.35,0,21.462,0.065,0,0.017,7.006,0.778,0.743,0.776,0.907,0.627,13.986,0.061,1.175,0.1050532,0.144322661,0.226022793,0.286411466,0.5889927,0.46,0.336757801,0.3,-0.06388554,0.07762155,0.008741103,0.058899271,0.530093443,0.294496357,0.589,-7.204772892,3.874842375,-1.339163035,0.232913422,2,1,3,"Potentially MLI",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",78,16.92,13.68,0.01,31.596,0.044,0,0.011,6.767,0.728,0.67,0.801,0.836,0.562,19.012,0.053,1.381,0.138135707,0.198739764,0.120752331,0.15500764,0.4633723,0.4,0.40648849,0.24,-0.034858968,0.09142849,0.032971596,0.046337229,0.417035061,0.231686145,0.463,-4.244872645,4.219566065,-0.90052279,0.260497488,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC001_probe1","18-08-30_YC001",99,15.15,15.67,0,29.729,0.046,0,0.012,6.763,0.702,0.65,0.87,0.801,0.524,15.846,0.049,1.619,0.141620264,0.198368598,0.22734035,0.267756157,0.4830864,0.5,0.361570892,0.2,-0.060851503,0.05532877,-0.024147777,0.048308641,0.434777766,0.241543204,0.483,-7.132126763,3.365688212,-1.07094826,0.225351805,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,1
"18-08-30_YC002_probe1","18-08-30_YC002",103,4.51,17.58,0.05,44.501,0.12,0,0.004,6.048,0.79,0.743,1.23,0.975,0.668,26.107,0.075,2.079,0.035,0.028016119,0.035,0.035,0.35594425,0.07,0.03,0.07,0.005123786,0.004185794,0,0.035594425,0.320349821,0.177972123,0.356,-12.70498087,9.70418355,-0.679943653,0.186258986,2,1,3,"Potentially MLI",0,0,0,0,0,5,"MLI",3,2
"18-08-30_YC002_probe1","18-08-30_YC002",106,25.25,14.33,0.01,61.422,0.027,0,0.005,6.425,0.761,0.707,0.984,0.898,0.614,39.484,0.062,2.037,0.035,0.01786069,0.035,0.035,0.5258597,0.07,0.03,0.07,0.018608635,-0.02409848,0,0.052585971,0.473273742,0.262929857,0.526,-29.44229543,11.53425136,-1.845366981,6.321102688,2,1,3,"Potentially MLI",0,0,0,0,0,5,"MLI",3,3
"18-08-30_YC002_probe1","18-08-30_YC002",12,4.58,16.35,0.05,13.585,0.15,0,0.019,6.738,0.853,0.817,0.943,1.051,0.759,9.388,0.082,1.382,0.108155222,0.186507996,0.09199215,0.117933731,0.76937646,0.33,0.281337912,0.16,-0.020054394,-0.021167846,0.042206075,0.076937646,0.692438811,0.384688228,0.769,-5.230639258,6.43386184,-2.530767362,0.142675008,2,1,3,"Potentially MLI",0,0,0,0,0,4,"MLI",3,2
"18-08-30_YC002_probe1","18-08-30_YC002",123,9.31,16.06,0,13.028,0.089,0,0.035,7.029,0.596,0.543,0.601,0.652,0.385,6.381,0.033,1.221,0.083844319,0.149779645,0.133287816,0.154657253,0.5031862,0.33,0.343732175,0.17,-0.025786266,0.004124683,0.001544505,0.050318623,0.452867603,0.251593113,0.503,-8.7941123,5.44232937,-1.284958272,0.19522108,2,1,3,"Potentially MLI",0,0,0,0,0,1,"MLI",3,1
"18-08-30_YC002_probe1","18-08-30_YC002",129,7.35,14.21,0.02,13.969,0.101,0,0.023,6.486,0.676,0.605,0.856,0.778,0.505,8.197,0.049,2.08,0.03414252,0.07711512,0.058096164,0.0665384,0.28852963,0.16,0.122117939,0.16,-0.016540226,0.017659867,-0.014494815,0.028852963,0.259676671,0.144264817,0.289,-16.8701639,14.15502081,-0.958604631,0.081171967,2,1,3,"Potentially MLI",0,0,0,0,0,3,"MLI",3,2
"18-08-30_YC002_probe1","18-08-30_YC002",140,11.26,13.15,0.01,24.338,0.075,0,0.012,6.811,0.763,0.678,0.741,0.915,0.63,16.099,0.066,1.169,0.034579523,0.07120294,0.039537396,0.048841154,0.84137356,0.13,0.11850582,0.07,-0.020381529,-0.10862583,0.004402724,0.084137356,0.757236207,0.420686781,0.841,-24.25158777,18.64333941,-3.441830763,-0.94705566,2,1,3,"Potentially MLI",0,0,0,0,0,4,"MLI",3,1
"18-08-30_YC002_probe1","18-08-30_YC002",144,15.77,24.68,0,58.782,0.047,0,0.004,6.782,0.95,0.927,0.941,1.239,0.918,40.301,0.109,1.314,0.046835821,0.094254683,0.069639758,0.092765583,0.5507791,0.2,0.077580481,0.13,-0.03577548,-0.034232214,-0.018031891,0.05507791,0.495701194,0.275389552,0.551,-8.753343797,10.22614316,-3.135927286,0.057029073,2,3,5,"Go + MF",0,0,0,0,0,4,"MLI",3,4
