"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo"
"18-12-13_YC008_probe1","18-12-13_YC008",11,18.83,17.37,0.02,21.208,0.049,0,0.029,7.158,0.345,0.294,0.366,0.356,0.138,4.192,0.011,1.015,0.120546856,0.217767415,0.123213635,0.142808203,0.32251233,0.4,0.442439387,0.13,-0.08720812,0.016369628,0.022406778,0.032251233,0.290261096,0.161256164,0.323,-6.747691988,5.791608868,-0.709559443,0.269238948,1,NA,1,"Purkinke",0,0,0,0,0,1,"Pk",1
"18-12-13_YC008_probe1","18-12-13_YC008",12,26.59,14.2,0,31.839,0.033,0,0.018,7.01,0.447,0.393,0.464,0.471,0.225,9.402,0.018,1.288,0.077350753,0.139354104,0.110468746,0.131440196,0.34799474,0.3,0.387547057,0.13,-0.06502723,0.09918874,0.013219298,0.034799474,0.31319527,0.173997372,0.348,-6.832486198,5.408880593,-0.652072947,0.30681392,1,NA,1,"Purkinke",0,0,0,0,0,1,"Pk",1
"18-12-13_YC008_probe1","18-12-13_YC008",212,35.31,18.15,0,47.182,0.024,0,0.01,6.817,0.579,0.529,0.593,0.63,0.363,20.614,0.031,1.507,0.060883052,0.14207059,0.094328519,0.128393234,0.34937054,0.3,0.363233469,0.17,-0.045082323,0.08894493,0.029018484,0.034937054,0.314433485,0.17468527,0.349,-6.871386688,5.756744165,-0.757509191,0.351490394,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-12-13_YC008_probe1","18-12-13_YC008",303,96.33,21.41,0,106.137,0.009,0,0.006,7.038,0.355,0.31,0.339,0.366,0.143,20.635,0.011,1.127,0.11036243,0.141321806,0.182818604,0.225322521,0.48026183,0.4,0.418082752,0.23,-0.08218624,0.15496954,-0.012125005,0.048026183,0.432235649,0.240130916,0.48,-5.22528341,4.166898598,-0.868230558,0.371637076,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-12-13_YC008_probe1","18-12-13_YC008",320,48.53,26.92,0,53.796,0.02,0,0.011,7.286,0.346,0.302,0.32,0.357,0.135,10.91,0.01,0.608,0.07014753,0.113341237,0.10363239,0.123272391,0.38371435,0.26,0.3914986,0.13,-0.019905182,0.11016457,0.006493351,0.038371435,0.345342913,0.191857174,0.384,-7.179527993,6.251330029,-0.741408648,0.33200629,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1
"18-12-13_YC008_probe1","18-12-13_YC008",338,147.97,16.92,0,168.836,0.005,0,0.005,5.138,0.297,0.115,0.504,0.314,0.152,26.747,0.012,2.947,0.172033163,0.270169879,0.195970044,0.24159426,0.57313365,0.56,0.542510443,0.33,-0.14764076,0.19564277,0.015680388,0.057313365,0.515820283,0.286566824,0.573,-1.81169366,3.257200466,-0.881038331,0.353352024,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-12-13_YC008_probe1","18-12-13_YC008",371,46.75,14.85,0.02,66.256,0.017,0,0.008,6.748,0.617,0.567,0.669,0.679,0.411,29.992,0.036,1.53,0.108573034,0.178990238,0.157983045,0.191025943,0.49280035,0.4,0.384192035,0.23,-0.09917665,0.103899814,0.000292521,0.049280035,0.443520319,0.246400177,0.493,-2.748138488,4.42517608,-0.999662396,0.294860119,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
"18-12-17_YC009_probe1","18-12-17_YC009",125,15.08,18,0,20.996,0.064,0,0.018,6.966,0.389,0.299,0.506,0.413,0.195,6.021,0.016,0.94,0.031956427,0.066454463,0.070923389,0.082004351,0.30464083,0.16,0.103802661,0.1,-0.015276789,0.020330744,-0.018703857,0.030464083,0.274176747,0.152320415,0.305,-11.44169608,11.30802482,-0.9845363,0.078177192,1,NA,1,"Purkinke",0,0,0,0,0,1,"Pk",1
"18-12-17_YC009_probe1","18-12-17_YC009",298,73.47,21.7,0.03,91.451,0.012,0,0.006,6.784,0.421,0.353,0.547,0.444,0.208,23.374,0.017,1.595,0.090675966,0.13476129,0.195139382,0.23590965,0.32375422,0.4,0.406459403,0.23,-0.103253484,0.10323294,0.005508984,0.032375422,0.291378799,0.161877111,0.324,-6.420022519,3.887586493,-0.574915112,0.35451777,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1
"18-12-17_YC009_probe1","18-12-17_YC009",420,214.71,18.79,0,234.17,0.004,0,0.003,6.275,0.213,0.12,0.363,0.22,0.075,20.72,0.006,2.275,0.072269604,0.140014098,0.115335525,0.159138323,0.41053104,0.33,0.382090258,0.2,-0.060123004,0.10529098,0.007482556,0.041053104,0.36947794,0.205265522,0.411,-5.088318884,5.3270888,-0.810038784,0.304427635,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1
